npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0100228E7,SMP Negeri 1,"Jl. Cikini Raya No. 87, Cikini Menteng",608.0,36.0,Kresno Puji Astuti,3.1922417E7,Baik,A
2.0100252E7,SMP Negeri 10,"Jl. Sumur Batu, Sumur Batu Kemayoran",716.0,37.0,"MOCH. SOLEH, M.M.",2.14241406E8,Banjir,A
2.0101558E7,SMP Negeri 100,"Jl. Obsidian No. 1, Kapuk Cengkareng",504.0,26.0,"Tisno, Drs., MM",021. 6195170,Baik,A
2.0101557E7,SMP Negeri 101,"Jl. Palmerah Utara II/210 C, Palmerah Palmerah",841.0,39.0,Sri Ambar Kosasih S.Pd,021-5481510,Baik,A
2.0103507E7,SMP Negeri 102,"Jl. Sederhana Raya Cijantung II, Gedong Pasar Rebo",556.0,31.0,"Susanto Marto Suwarno,S.Pd",8401794.0,Baik,A
2.0103508E7,SMP Negeri 103,"Jl. RA. Fadilah Cijantung, Cijantung Pasar Rebo",1045.0,57.0,Drs. H. Ismail,8400005.0,Baik,A
2.010242E7,SMP Negeri 104,"Jl. Mampang Prapatan XIII, Tegal Parang Mampang Prapatan",623.0,34.0,"Safarudin Harahap, S.Pd, MM",7990565.0,Padat/Kumuh,A
2.0101556E7,SMP Negeri 105,"Jl. Raya Kembangan Selatan No. 54, Kembangan Selatan Kembangan",854.0,42.0,Drs. Suwondo. M.M,021-58901059,Baik,A
2.0103524E7,SMP Negeri 106,"Jl. H. Baping No. 28, Ciracas Ciracas",885.0,45.0,Hari Mulyadi,8412710.0,Baik,A
2.0102419E7,SMP Negeri 107,"Jl. Raya Pejaten barat, Pejaten Barat Pasar Minggu",679.0,31.0,"H. PONIRAN, S.Pd",7990977.0,Baik,A
2.0101554E7,SMP Negeri 108,"Jl. Flamboyan No. 53, Cengkareng Barat Cengkareng",900.0,41.0,,5550754.0,Banjir,A
2.0103523E7,SMP Negeri 109,"Jl. Kesehatan No.105, Cipinang Melayu Makasar",1017.0,53.0,"BAMBANG SUPRIYADI, S,Pd",8.6601017E7,Baik,A
2.0102402E7,SMP Negeri 11,"Jl. Kerinci VII, Blok E, Gunung Kebayoran Baru",836.0,45.0,Drs. M. ZAMANUDDIN,2.17221665E8,Baik,A
2.0102527E7,SMP Negeri 110,"Jl. Kemajuan, Pesanggrahan Pesanggrahan",642.0,32.0,"Drs. Wahyudin, MM",021-7342288,Baik,A
2.0101553E7,SMP Negeri 111,"Jl. Bhakti VII/2, Kemanggisan Palmerah",840.0,40.0,YURIANTO,021-5482423,Baik,A
2.0100717E7,SMP Negeri 112,"Jl. Al Teluk Gong Pejagalan, Pejagalan Penjaringan",794.0,39.0,Dra. Sri Murtini,6630332.0,Banjir,A
2.0100718E7,SMP Negeri 113,"Jl. Kampung Bandan, Ancol Pademangan",457.0,21.0,Drs.MUHAMAD ASYARI.H.MM,6909030.0,Padat/Kumuh,A
2.0100719E7,SMP Negeri 114,"Jl. H.M. Darpi No. 2 Plumpang Semper, Tugu Utara K o j a",1039.0,46.0,RAMLI,(021) 43936225,Baik,A
2.010251E7,SMP Negeri 115,"Jl. Tebet Utara III/K.H Abdullah Syafe'i, Tebet Timur T e b e t",1004.0,50.0,"H.HAMAMI,MM",2.18297511E8,Baik,A
2.010072E7,SMP Negeri 116,"Jl.Sunter Permai Raya Sunter Agung, Sunter Agung Tanjung Priok",601.0,32.0,Drs Syarief Hidayat,6408125.0,Baik,A
2.0103522E7,SMP Negeri 117,"Jl. Pahlawan Revolusi, Pondok Bambu Duren Sawit",742.0,36.0,"DRS. TUMPAK SINAGA, M.M",8610050.0,Baik,A
2.0100241E7,SMP Negeri 118,"JL. PRAMUKASARI I NO. 19, Rawasari Cempaka Putih",629.0,33.0,"Drs. SURYANA, M.Si.","4245169, 4228154",Baik,A
2.010024E7,SMP Negeri 119,"Jl. Harapan Jaya IX, No. 5, Cempaka Baru Kemayoran",730.0,32.0,"Drs. Hanom Iskandar, MM",4245304.0,Baik,A
2.0102509E7,SMP Negeri 12,"Jl. Wijaya IX / 50, Melawai Kebayoran Baru",820.0,45.0,"H.Sujaelani,M.Pd",021-7208095,Baik,A
2.0100721E7,SMP Negeri 120,"Jl. Kamal Muara Raya No. 9, Kamal Muara Penjaringan",878.0,39.0,"Suhail Effendey, M.Pd.",5557952.0,Baik,A
2.010074E7,SMP Negeri 121,"Jl. Plumpang Semper No.20, Tugu Selatan K o j a",670.0,33.0,"EDY WARSIH, M.Pd",021-43930682,Baik,A
2.0100741E7,SMP Negeri 122,"Jl. SMP 122 No. 26, Kapuk Muara Penjaringan",792.0,38.0,Drs.PURWANTO,7.0288122E7,Banjir,A
2.010076E7,SMP Negeri 123,"Jl. Kelapa Gading I Komplek PT. HII, Kelapa Gading Timur Kelapa Gading",708.0,29.0,"RAMLI,S.Pd",4525929.0,Baik,A
2.0102508E7,SMP Negeri 124,"Jl. Kemang Timur I/5, Bangka Mampang Prapatan",665.0,35.0,Mardhanius Supardiyono,7988101.0,Baik,A
2.0101552E7,SMP Negeri 125,"Jl. Utan Jati, Pegadungan Kalideres",645.0,31.0,"Suryana, M.Pd",5417532.0,Banjir,A
2.0103521E7,SMP Negeri 126,"Jl. SMP 126, Batu Ampar Kramat Jati",935.0,49.0,Drs.SUHARTONO,8094151.0,Banjir,A
2.0101551E7,SMP Negeri 127,"Jl. Raya Kebon Jeruk No. 126A, Kebon Jeruk Kebon Jeruk",699.0,33.0,"Supriheni, S.Pd.MM",5480114.0,Baik,A
2.010352E7,SMP Negeri 128,"Jl. Herkules Komplek Skadron, Halim Perdana Kusumah Makasar",763.0,43.0,ACHMAD SOBARI,2.18009861E8,Baik,A
2.0100761E7,SMP Negeri 129,"Jl. Warakas VI, Papanggo Tanjung Priok",820.0,40.0,,4.3935165E7,Baik,A
2.0102507E7,SMP Negeri 13,"Jl. Tirtayasa Raya Blok O/1, Melawai Kebayoran Baru",810.0,36.0,"Drs. H. Jaanan, M.Pd",021-7262939,Baik,A
2.010155E7,SMP Negeri 130,"Jl. KS. Tubun I Kota Bambu Utara, Kota Bambu Utara Palmerah",755.0,30.0,Kusnadi,2.156979384E9,Padat/Kumuh,A
2.0102506E7,SMP Negeri 131,"Jl. R.M. Kahfi I No. 50, Cipedak Jagakarsa",643.0,44.0,Drs. MARLAN KASNI,7270218.0,Baik,A
2.0122017E7,SMP Negeri 131 Terbuka,"Jl. R.M. Kahfi I No. 50, Cipedak Jagakarsa",187.0,1.0,Drs. DJOKO TOWO HADI BIROWO,7270218.0,Baik,Tidak Terakreditasi
2.0101562E7,SMP Negeri 132,"Jl. Tawangmangu No.2, Kedaung Kali Angke Cengkareng",745.0,30.0,RUSWAN EFFENDI,2.16198897E8,Banjir,A
2.0106342E7,SMP Negeri 133,"Pulau Pramuka, Pulau Panggang Kepulauan Seribu Utara",283.0,16.0,MAJID,021-34228517,Baik,B
2.0101563E7,SMP Negeri 134,"Jl. Taman Maruya Ilir Blok A No. 18, Meruya Utara Kembangan",744.0,44.0,"Suryanti, M.Pd",5842449.0,Baik,A
2.0103519E7,SMP Negeri 135,"Jl. Teluk Palu No. 35, Pondok Bambu Duren Sawit",967.0,43.0,"Janjang Hanaris, S.Pd.",021-8617871,Banjir,A
2.0106716E7,SMP Negeri 136,"Jl. Bendungan Melayu No. 80, Tugu Selatan K o j a",653.0,37.0,"Afrida Hanum Siregar, S.Pd",4.3911114E7,Baik,A
2.0100228E7,SMP Negeri 137,"Jl. Cemp. Putih Barat No. 15/26, Cempaka Putih Barat Cempaka Putih",608.0,33.0,"Drs. SUHERMAN, M.Pd",4244612.0,Baik,A
2.0103518E7,SMP Negeri 138,"Jl. Pahlawan Komarudin Cakung Jak-tim, Pulo Gebang Cakung",924.0,47.0,"Hj. Herniwati, S.Pd, M.M",4608257.0,Baik,A
2.0109236E7,SMP Negeri 138 Terbuka,"Jl. Pahlawan Komaruddin, Pulo Gebang Cakung",196.0,2.0,"Hj. Siti Istuti, S.Pd, MM",4608257.0,Baik,Tidak Terakreditasi
2.0103517E7,SMP Negeri 139,"Jl. Bunga Rampai X, Malaka Jaya Duren Sawit",791.0,45.0,"Drs. Muhammad Dimyati, MM",8622390.0,Baik,A
2.0103516E7,SMP Negeri 14,"Jl. Matrman Raya No. 177, Bali Mester Jatinegara",414.0,22.0,Drs. Dwi Santosa,2.18195507E8,Padat/Kumuh,A
2.0100762E7,SMP Negeri 140,"Jl. Komp. Sekneg Blok A., Sunter Agung Tanjung Priok",622.0,30.0,Drs. Elman Sihombing,6459389.0,Banjir,A
2.0102505E7,SMP Negeri 141,"Jl. Pondok Jaya VIII/15 B, Pela Mampang Mampang Prapatan",706.0,36.0,"Drs, Setiabudi, M.Pd",7192868.0,Banjir,A
2.0102232E7,SMP Negeri 141 Terbuka,"Jl. Pondok Jaya VIII/15B, Pela Mampang Mampang Prapatan",55.0,30.0,"Drs, Setiabudi, M.Pd",7192868.0,Banjir,Tidak Terakreditasi
2.0101564E7,SMP Negeri 142,"Jl. Joglo Raya Kembangan, Joglo Kembangan",924.0,43.0,Jehu Sinaga,5844666.0,Baik,A
2.0100763E7,SMP Negeri 143,"Jl. Cilincing Bakti IX, Cilincing Cilincing",804.0,32.0,PRIYANTO,4402004.0,Padat/Kumuh,A
2.0103515E7,SMP Negeri 144,"Jl. Raya Bekasi Km. 23 Cakung, Cakung Barat Cakung",851.0,38.0,"Drs. AGUS SUMARNO, MM",021 - 4617313,Banjir,A
2.0102504E7,SMP Negeri 145,"Jl. Menteng Pulo Ujung, Menteng Atas Setia Budi",647.0,28.0,"Ahmad, S.Pd, M.Si",021 8298205,Baik,A
2.0103514E7,SMP Negeri 146,"Jl. Balai Rakyat, Ujung Menteng Cakung",697.0,39.0,Drs.H.Nasrudin.MA.Pd,4612295.0,Baik,A
2.0103513E7,SMP Negeri 147,"Jl. Jambore Cibubur, Cibubur Ciracas",927.0,43.0,"TIAR MARBUN, M.Pd",8719292.0,Baik,A
2.0103512E7,SMP Negeri 148,"Jl. BB. I. Cipinang Muara, Cipinang Muara Jatinegara",666.0,36.0,"ROSNANI, S.Pd. M.Si.",8199585.0,Banjir,A
2.0103511E7,SMP Negeri 149,"Jl. Cipinang Besar Selatan, Cipinang Besar Selatan Jatinegara",562.0,25.0,Drs.H.ISMONO,8506210.0,Padat/Kumuh,A
2.0102503E7,SMP Negeri 15,"Jl. Prof. Supomo Menteng, Menteng Dalam T e b e t",731.0,31.0,"Dra. Nunuk Astutiningtyas, M.P",8312669.0,Banjir,B
2.010351E7,SMP Negeri 150,"Jl. Batu Tumbuh VII, Kramat Jati Kramat Jati",847.0,45.0,"LANGAS SIANTURI,Drs,MM",2.1809381E8,Padat/Kumuh,A
2.0100764E7,SMP Negeri 151,"Jl. Kepil No.1 . Perumpel II, Rawa Badak Selatan K o j a",727.0,38.0,"Drs. SUJARWO, M.Si",4303682.0,Banjir,A
2.0100765E7,SMP Negeri 152,"Jl. Sunter Jaya IV, Sunter Jaya Tanjung Priok",725.0,30.0,Drs. Gunawan MS,6507186.0,Baik,A
2.0102502E7,SMP Negeri 153,"Jl. Panjang Cidodol No. 1, Grogol Selatan Kebayoran Lama",844.0,43.0,"Dra.RR. KUS PRIHATININGRUM, M.",7394260.0,Baik,A
2.0102501E7,SMP Negeri 154,"Jl. Pengadengan Brt XIII No. 46, Pengadegan Pancoran",637.0,29.0,Suryoto,7991643.0,Baik,A
2.01025E7,SMP Negeri 155,"Jl. Cikoko Barat IV, Cikoko Pancoran",527.0,25.0,"SUPRIYONO, M.Pd.",7987400.0,Baik,A
2.010023E7,SMP Negeri 156,"Jl. Kramat Pulo Gundul III, No. 4, Johar Baru Johar Baru",694.0,29.0,,2.14214306E8,Padat/Kumuh,A
2.0103509E7,SMP Negeri 157,"Jl. Al Baidho, Lubang Buaya Cipayung",1029.0,54.0,"Drs. Humisar Sihite, MM",8404810.0,Baik,A
2.0103489E7,SMP Negeri 158,"Jl. TB.Badarudin, Jatinegara Kaum Pulo Gadung",705.0,28.0,Drs. LUMBA SIANIPAR,4721772.0,Baik,A
2.0122031E7,SMP Negeri 158 Terbuka,"Jl. TB. Badaruddin, Jatinegara Kaum Pulo Gadung",304.0,15.0,,021 4721772,Baik,Tidak Terakreditasi
2.0101576E7,SMP Negeri 159,"Jl. Jembatan Besi Raya No. 24, Jembatan Besi Tambora",545.0,29.0,"H. ABDUL RIVAI H. S.Pd.,M.Si",(021)6302655,Banjir,B
2.0107034E7,SMP Negeri 16,"Jl. Palmerah Barat 59, Grogol Utara Kebayoran Lama",850.0,39.0,Drs. H. Agus Susila,5483415.0,Baik,A
2.0103564E7,SMP Negeri 160,"Jl. SMP 160 TMII, Ceger Cipayung",630.0,32.0,Drs. H. Zainal Alimin,8441330.0,Baik,A
2.0102499E7,SMP Negeri 161,"Jl. Delman Utama I, Kebayoran Lama Utara Kebayoran Lama",972.0,49.0,"H. Nana Sujana, S.Pd.,M.M.",7247127.0,Baik,A
2.0100766E7,SMP Negeri 162,"Jl. Marunda Baru IV No. 1, Marunda Cilincing",655.0,43.0,"Sus Indah Eko Mustikoweni, M.P",4.4851009E7,Baik,A
2.010659E7,SMP Negeri 162 Terbuka,"Jl. Marunda Baru IV No. 1, Marunda Cilincing",186.0,42.0,SUS INDAH EKO MUSTIKOWENI,2.144851009E9,Baik,Tidak Terakreditasi
2.0102498E7,SMP Negeri 163,"Jl. Empang III, Pejaten Timur Pasar Minggu",672.0,33.0,"Dra. Dewi Riandari, M.Pd.",7994079.0,Baik,A
2.0102511E7,SMP Negeri 164,"Jl. Darma Putra Raya No. 10, Kebayoran Lama Selatan Kebayoran Lama",807.0,41.0,"TRI PADMA PUJIANTARA,MM.",7260333.0,Baik,A
2.0103639E7,SMP Negeri 165,"Jl. Balai Rakyat III No.16, Pondok Bambu Duren Sawit",641.0,24.0,"Dra. Ekasari Kartikaningtyas,",8614106.0,Banjir,A
2.0102512E7,SMP Negeri 166,"Jl. Kedondong, Jagakarsa Jagakarsa",750.0,36.0,"MUHAMAD ERMAWAN, S.Pd",2.17270219E8,Baik,A
2.0103619E7,SMP Negeri 167,"Jl. Lingkar Duren Sawit, Duren Sawit Duren Sawit",670.0,36.0,"H. TAUFIK, S.Pd. MM",8620641.0,Baik,A
2.0103618E7,SMP Negeri 168,"Jl. P. Komarudin Buaran Cakung, Cakung Barat Cakung",603.0,35.0,"Drs.Suhendi, M. Pd",4610680.0,Baik,A
2.0101574E7,SMP Negeri 169,"Jl. Peta Utara Pegadungan, Pegadungan Kalideres",634.0,32.0,"AGUS KAHARUDIN, M.Pd",2.16194489E8,Baik,A
2.0100231E7,SMP Negeri 17,"Jl. Karang Anyar 9 - 14, Karang Anyar Sawah Besar",534.0,28.0,Drs. Tri Puji Hartono. M.Pd.,021 - 6390329,Baik,A
2.0100767E7,SMP Negeri 170,"Jl. Kepu Pegangsaan Dua No. 17, Pegangsaan Dua Kelapa Gading",658.0,29.0,"DIAH WAYANTI, M.Si",4602817.0,Baik,A
2.0103617E7,SMP Negeri 171,"Jl. H. Baping, Rambutan Ciracas",775.0,36.0,MARINTANG GAJA,2.18414989E8,Baik,B
2.0103616E7,SMP Negeri 172,"Jl. Stasiun Cakung, Pulo Gebang Cakung",856.0,49.0,"Sapari, S.Pd., MM.",4805079.0,Baik,A
2.0100768E7,SMP Negeri 173,"Jl. Alur Laut No. 57, Rawa Badak Utara K o j a",863.0,41.0,"Drs. Hartono, M.Pd",4303610.0,Baik,A
2.0103615E7,SMP Negeri 174,"Jl. H. Baping, Susukan Ciracas",702.0,37.0,"Dra.Hj.Suparmini,M.Pd",021-8411005,Baik,A
2.0102513E7,SMP Negeri 175,"Jl. Kebagusan Wates, Jagakarsa Jagakarsa",702.0,34.0,"Drs. Agus Isnadi, M.Pd.",7811978.0,Baik,A
2.0101573E7,SMP Negeri 176,"Jl. Raya Duri Kosambi, Duri Kosambi Cengkareng",683.0,32.0,Dra. OOM KOMALASARI,021-5415850,Baik,A
2.0102526E7,SMP Negeri 177,"Jl. Raya Kodam Bintaro, Pesanggrahan Pesanggrahan",959.0,47.0,"Yoyo Sutaryo, M.Pd.",021-7355975/73889246,Baik,A
2.0102525E7,SMP Negeri 178,"Jl. Mawar No. 6 Bintaro, Bintaro Pesanggrahan",820.0,42.0,"Drs. SUSMULYADI, M.Pd.",021 - 73883370,Baik,A
2.0103614E7,SMP Negeri 179,"Jl. Kalisari, Kalisari Pasar Rebo",965.0,51.0,Dra.Florentina Wartinem MM,8711073.0,Banjir,A
2.0109261E7,SMP Negeri 179 Terbuka,"Jl. Kalisari, Kalisari Pasar Rebo",72.0,18.0,,8711073.0,Banjir,Tidak Terakreditasi
2.0100232E7,SMP Negeri 18,"Jl. Menteng No. 3, Kebon Sirih Menteng",693.0,31.0,,3193556.0,Baik,A
2.0109257E7,SMP Negeri 180,"Jl. Bambu Wulung, Bambu Apus Cipayung",583.0,34.0,SUPROJO,8441501.0,Baik,A
2.0100233E7,SMP Negeri 181,"Jl. Masjid I No.5, Karet Tengsin Tanah Abang",604.0,30.0,"Drs.Bambang Tajudin,M.Pd",5738060.0,Baik,B
2.0102524E7,SMP Negeri 182,"Jl. Kalibata Timur I, Kalibata Pancoran",867.0,44.0,"Dra. Rini Indri Hastuti, M.Pd",7994641.0,Baik,A
2.0100235E7,SMP Negeri 183,"Jl. Cempaka Baru VII, No. 47, Cempaka Baru Kemayoran",460.0,21.0,Drs. SLAMET SUPRIYANTO,4245884.0,Banjir,B
2.0103612E7,SMP Negeri 184,"Jl. Lapan, Pekayon Pasar Rebo",958.0,47.0,Drs. Komar,021 8711341,Baik,A
2.0102523E7,SMP Negeri 185,"Jl. Kemandoran I Grogol Utara, Grogol Utara Kebayoran Lama",535.0,26.0,Drs. Iwan Purwanto,5307631.0,Padat/Kumuh,B
2.0101572E7,SMP Negeri 186,"Jl. Peta Barat Kalideres, Kalideres Kalideres",785.0,39.0,"Drs. Juhedi, M.Pd.",5412241/29405763,Baik,A
2.0101571E7,SMP Negeri 187,"Jl. Gaga Utama, Semanan Kalideres",629.0,34.0,Drs. Sunardi,021 5455859,Padat/Kumuh,A
2.0103611E7,SMP Negeri 188,"Jl. Tanah Merdeka, Rambutan Ciracas",526.0,25.0,"Drs. ABDUL ROJAK, M.Pd",2.18403136E8,Baik,A
2.010157E7,SMP Negeri 189,"Jl. H. Rausin No.89, Kelapa Dua Kebon Jeruk",737.0,30.0,"Drs. ROHMANI, MM.",5300625.0,Baik,A
2.0102522E7,SMP Negeri 19,"Jl. Bumi Blok E No. 21, Gunung Kebayoran Baru",1006.0,48.0,"Drs.H.Joko Suramto,M.Pd",021-7250219,Baik,A
2.0101569E7,SMP Negeri 190,"Jl. Prepedan Kamal, Kamal Kalideres",623.0,32.0,"Drs. MARSAMTO, M.Pd.",021 5552419,Baik,A
2.0108543E7,SMP Negeri 190 Terbuka,"Jl. Prepedan Kamal, Kamal Kalideres",301.0,1.0,"Drs. Marsamto, M.Pd",021 5552419,Baik,Tidak Terakreditasi
2.0101568E7,SMP Negeri 191,"Jl. Duta Raya No. 2, Duri Kepa Kebon Jeruk",760.0,43.0,"ASMUNI, MM",(021) 5659736,Baik,A
2.010361E7,SMP Negeri 192,"Jl. Kramat IV No.100, Lubang Buaya Cipayung",486.0,28.0,"BUDI SUSETIO, S.Pd",8467464.0,Baik,B
2.0103609E7,SMP Negeri 193,"Jl. Irigasi, Ujung Menteng Cakung",845.0,48.0,"Drs. Karyoto, M.Pd",2.14612775E8,Baik,A
2.0103608E7,SMP Negeri 194,"Jl. Pendidikan Komp. IKIP IX, Duren Sawit Duren Sawit",902.0,40.0,Dra. DEWI ARIESTIN HASTUTI,021-8628255,Baik,A
2.0103607E7,SMP Negeri 195,"Jl. Sawah Barat Duren Sawit 48, Duren Sawit Duren Sawit",737.0,37.0,Herniwati,2.18614104E8,Baik,A
2.0103606E7,SMP Negeri 196,"Jl. Mabes TNI, Pondok Ranggon Cipayung",500.0,24.0,"Drs. Imam Santoso, M.M",8441985.0,Baik,A
2.0101566E7,SMP Negeri 197,"Jl. Raya Kedoya Utara No.100, Kedoya Utara Kebon Jeruk",598.0,32.0,"IDRIS, S.Pd",5801793.0,Padat/Kumuh,A
2.0103605E7,SMP Negeri 198,"Jl. Pertanian Klender, Klender Duren Sawit",754.0,37.0,"RITA HERLINDA, M.Pd.",8616425.0,Padat/Kumuh,A
2.0103604E7,SMP Negeri 199,"Jl. Arabika VIII Blok AC3, Pondok Kopi Duren Sawit",729.0,36.0,"Bambang Sugianto, S.Pd",021-8624937,Baik,A
2.0100236E7,SMP Negeri 2,"Jl. Mardani Raya, Johar Baru Johar Baru",879.0,38.0,"Drs. Budiantoro, M.Si.",4243788.0,Baik,A
2.010362E7,SMP Negeri 20,"Jl. Komp. Bulak Rantai, Kramat Jati Kramat Jati",1009.0,49.0,,7.0912033E7,Baik,A
2.0108898E7,SMP Negeri 20 Terbuka,"Jl. Rantai Mas KPAD Bulak Rantai, Kampung Tengah Kramat Jati",366.0,12.0,"Drs.Dedy Suryadi, M.MPd",7.0912033E7,Baik,Tidak Terakreditasi
2.0100769E7,SMP Negeri 200,"Jl. Rorotan IX No. 2, Rorotan Cilincing",845.0,40.0,Sapto Winarni S. Pd,4.4850643E7,Baik,A
2.0101565E7,SMP Negeri 201,"Jl. Kayu Besar, Cengkareng Timur Cengkareng",775.0,40.0,"Yayah Rohayah, S.Pd",(021) 5553675,Banjir,A
2.0103621E7,SMP Negeri 202,"Jl. Buluh Perindu IV/I, Duren Sawit Duren Sawit",846.0,42.0,"SUDARNO, S.Pd",8612292.0,Baik,B
2.0103622E7,SMP Negeri 203,"Jl. Raya Kalisari - LAPAN, Kalisari Pasar Rebo",537.0,26.0,"Drs. ASROFI, MM",8707228.0,Baik,A
2.0101549E7,SMP Negeri 204,"Jl. Peta Utara Pegadungan, Pegadungan Kalideres",630.0,26.0,"Drs.Mokh. Fatkhuri Makrus,M.Pd",5450436.0,Banjir,A
2.0101548E7,SMP Negeri 205,"Jl. Semanan Raya No. 2, Semanan Kalideres",717.0,36.0,Moh. Hidayat S. Pd,021 5446287,Baik,A
2.0101533E7,SMP Negeri 206,"Jl. Meruya Selatan, Meruya Selatan Kembangan",750.0,37.0,"Drs. Nana Sutrisna, M.Pd",5850137.0,Baik,A
2.0101532E7,SMP Negeri 207,"Jl. Raya Maruya Utara Rt.07/02, Meruya Srengseng Kembangan",743.0,39.0,SUBADRI,2.15846707E8,Baik,A
2.0103638E7,SMP Negeri 208,"Jl. Raya Centex, Ciracas Ciracas",826.0,42.0,"Drs.H.Safari Budiharjo, M.Pd",8411088.0,Baik,A
2.0103637E7,SMP Negeri 209,"Jl. Pelita, Kampung Tengah Kramat Jati",819.0,43.0,"Dinas, S.Pd",8009013.0,Baik,A
2.010077E7,SMP Negeri 21,"Jl. Bandengan Utara 80, Penjaringan Penjaringan",851.0,40.0,"Drs. HARDIWAN, M. Si.",6691850.0,Padat/Kumuh,A
2.0103636E7,SMP Negeri 210,"Jl. Raya Centex, Ciracas Ciracas",773.0,40.0,"H. FATHULLOH, M. Pd",8411183.0,Banjir,A
2.0102521E7,SMP Negeri 211,"Jl. Srengseng Sawah, Srengseng Sawah Jagakarsa",604.0,31.0,"Minik, M.Pd.",7270204.0,Baik,A
2.010252E7,SMP Negeri 212,"Jl. Benda Atas Cilandak timur, Pejaten Timur Pasar Minggu",684.0,35.0,"Drs. Nuryamin, M.Pd",7800417.0,Baik,A
2.0103635E7,SMP Negeri 213,"Jl. Malaka I Perlum. Klender, Malaka Sari Duren Sawit",846.0,50.0,"Dra. Hj. Libertina, MPd.",8621548.0,Baik,A
2.0103634E7,SMP Negeri 214,"Jl. Rajawali, Halim Perdana Kusumah Makasar",788.0,41.0,"BAMBANG DWI PURWANTO, S.Pd",2.18096021E8,Baik,A
2.0101531E7,SMP Negeri 215,"Jl. Melati Taman Maruya Ilir Blok B, Meruya Utara Kembangan",865.0,41.0,Dra. Mardiana,5850391.0,Baik,A
2.0100237E7,SMP Negeri 216,"Jl. Salemba Raya No. 18, Kenari S e n e n",924.0,43.0,Wahyudi,3.1931857E7,Baik,A
2.0106394E7,SMP Negeri 216 Terbuka,"Jl. Salemba Raya No. 18, Kenari S e n e n",216.0,1.0,Wahyudi,3.1931857E7,Baik,Tidak Terakreditasi
2.0103633E7,SMP Negeri 217,"Jl. Gongseng Raya, Baru Pasar Rebo",712.0,31.0,"Suyanto, Drs.M.M",8401389.0,Baik,A
2.0102519E7,SMP Negeri 218,"Jl. Manara Jati Padang, Jati Padang Pasar Minggu",772.0,41.0,"WAHYU HARIYADI, Drs. MM",7807305.0,Baik,A
2.010153E7,SMP Negeri 219,"Jl. Raya Joglo Komp.Pemadam Kebakaran, Joglo Kembangan",823.0,38.0,"Asep Pujarsono, S.Pd",2.15853326E8,Baik,A
2.0101529E7,SMP Negeri 22,"Jl. Jembatan Batu No. 74, Pinangsia Taman Sari",730.0,33.0,"Ngudi Nor, S.Pd, MM",6269841.0,Padat/Kumuh,B
2.0101528E7,SMP Negeri 220,"Jl. Mangga I, Duri Kepa Kebon Jeruk",682.0,31.0,"Subroto, S.Pd",5687919.0,Banjir,A
2.0100771E7,SMP Negeri 221,"Jl. Sunter Karya Selatan, Sunter Agung Tanjung Priok",890.0,32.0,Dra Endang Titi Prihati,021-6458213,Baik,A
2.0103632E7,SMP Negeri 222,"Jl. Raya Ceger TMII, Ceger Cipayung",609.0,32.0,"Saheri, S.Pd",021-8445662,Baik,A
2.0103631E7,SMP Negeri 223,"Jl. Surilang No. 6, Gedong Pasar Rebo",637.0,31.0,Drs. Abdul Azis,8403316.0,Baik,A
2.0101527E7,SMP Negeri 224,"Jl. SMPN 224 Kebon Duaratus, Kamal Kalideres",410.0,21.0,Drs. TUJU WIDODO,5560202.0,Padat/Kumuh,A
2.0101526E7,SMP Negeri 225,"Jl. Warung Gantung Kp. Kojan Kalideres, Kalideres Kalideres",869.0,47.0,,2.15409941E8,Padat/Kumuh,A
2.0102518E7,SMP Negeri 226,"Jl. Kayu Kapur No. 2, Pondok Labu Cilandak",861.0,38.0,"Drs. Moh. Khotim, M.Pd",7501270.0,Baik,A
2.0102517E7,SMP Negeri 227,"Jl. Mesjid Al Fajri, Pejaten Barat Pasar Minggu",737.0,29.0,Uyat Supriyatna,7971338.0,Baik,A
2.0100238E7,SMP Negeri 228,"Jl. Sumur Batu Raya No. 6, Sumur Batu Kemayoran",976.0,42.0,"Drs. H. Sukandi, M Si",4202430.0,Baik,A
2.0109212E7,SMP Negeri 229,"Jl. Raya Kebon Jeruk NO. 39, Kebon Jeruk Kebon Jeruk",846.0,43.0,"DR. Tabhita Sri Hartini., S.Si",5303652.0,Baik,A
2.0100772E7,SMP Negeri 23,"Jl. Pademangan Timur VI, Pademangan Timur Pademangan",661.0,29.0,"Drs. IMAM SANTOSO, MM",6.4715503E7,Baik,A
2.010363E7,SMP Negeri 230,"Jl. TPU - Pondok Ranggon, Pondok Ranggon Cipayung",1283.0,68.0,"Mimin Sukmini, S.Pd.",021-8440283,Baik,B
2.0100773E7,SMP Negeri 231,"Jl. Raya Tugu Semper, Semper Barat Cilincing",1054.0,48.0,"Nimrod Lumban Tobing, Drs",4400643.0,Baik,A
2.0103629E7,SMP Negeri 232,"Jl. Gading Raya No. 16, Pisangan Timur Pulo Gadung",851.0,38.0,"SUKANDAR, S.Pd",4712538.0,Banjir,A
2.0103628E7,SMP Negeri 233,"Jl. H. Abdur Rachman No. 68, Cibubur Ciracas",749.0,38.0,"Etin Rohaetin, M.Pd.",8705357.0,Baik,A
