nama_pengurus,nama_bank_sampah,alamat_bank_sampah,kecamatan,kelurahan,email,status
Ibu Pulung,Bank Sampah Pulung,"Rawa Buaya, Rawa Buaya, Cengkareng, West Jakarta City, Special Capital Region of Jakarta, Indonesia",Cengkareng,Rawa Buaya,eddy_elfrido@yahoo.com,Aktif
Siti Mutiah,Terate94,"Jalan Teratai, Jl. Teratai, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Utara,bs.terate94@gmail.com,Aktif
Marta sianturi,Glodok City,"Pasar Glodok, Ps. Glodok, Jl. Pancoran, Glodok, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11120, Indonesia",Taman Sari,Glodok,martha05sianturi@yahoo.co.id,Aktif
Tarno,Bina Kalideres Mandiri,"Jalan Perumahaan Citra I, Jl. Perumahaan Citra I, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,ivanasitumorang8@gmail.com,Aktif
Maryati,Madani,"Jalan Joglo Raya, Jl. Joglo Raya, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,bs.madani1@gmail.com,Aktif
Rita,Bank Sampah Dahlia,"Jalan Krendang Timur, Jl. Krendang Timur, Krendang, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11260, Indonesia",Tambora,Krendang,dahliakrendang@gmail.com,Aktif
Juju,Bale Desa,"Kantor Kelurahan Srengseng, Jl. Srengseng Raya, RT.2, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,bs.baledesa@gmail.com,Aktif
Ria,Bank Sampah Anggrek Bulan,"Jalan Krendang Selatan, Jl. Krendang Sel., Duri Utara, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Duri Utara,bulananggrek03@gmai.com,Aktif
Bapak Tri,Delima Putih,"Duri Kosambi, Duri Kosambi, Cengkareng, West Jakarta City, Special Capital Region of Jakarta, Indonesia",Cengkareng,Duri Kosambi,delimawhite03@gmail.com,Aktif
Munasik,Perintis Pramuka,"Jalan Kembang Mulia, Jl. Kembang Mulia, Kembangan Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Selatan,perintispramuka11@gmail.com,Aktif
Hera,Qaryatun Shihhatun,"Jalan Marwah, Jl. Marwah, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630, Indonesia",Kembangan,Srengseng,bs.qaryatunshihatun@gmail.com,Aktif
Ajeng,Ya Laper,"Jalan Kembang Mulia, Jl. Kembang Mulia, Kembangan Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Selatan,yalaper12@gmail.com,Aktif
SDN 05,Melati SDN 05,"Jalan Srengseng Raya, Jl. Srengseng Raya, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Srengseng,bs.melati5@gmail.com,Aktif
Hanna,Bawa Perubahan ( Baper ),"Gang Manwar, Gg. Manwar, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Selatan,bawaperubahan09@gmail.com,Aktif
Fredi Harjono,Sehati,"Taman Aries, Jalan Aries Utama, RT. 1 / RW. 9, Meruya Utara, Kembangan, RT.1/RW.9, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620, Indonesia",Kembangan,Meruya Utara,sehati652@gmail.com,Aktif
Mulyono,Rusun Flamboyan,"Jalan Rusun Flamboyan, Jl. Rusun Flamboyan, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,rusunflamboyan@gmail.com,Aktif
Nanang,Rw 10 / DKI 10,"Meruya Utara, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,rw10dki10@gmail.com,Aktif
Rafles,Kembang III,"Jalan Penyelesaian Tomang III, Jl. Penyelesaian Tomang III, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,kembang253@gmail.com,Aktif
H. munari,Melati,"Semanan, Semanan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kalideres,Semanan,banksampahmelati@gmail.com,Aktif
Betrix,Kembang II,"Meruya Selatan, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Selatan,mercubuana11@gmail.com,Aktif
Rena,Melati Komkamtib,"Jalan Musyawarah Raya, Jl. Musyawarah Raya, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,bs.melati02@gmail.com,Aktif
Rini,Anggrek,"Jalan Kompleks Dep Keuangan, Jl. Komp. Dep Keuangan, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,bs.anggrek6@gmail.com,Aktif
Giyono,Karya Mandiri,"Jalan Pemadam Joglo, Jl. Pemadam Joglo, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,bs.karyamandiri4@gmail.com,Aktif
Endah,EmakPRJ 16,"Jalan Haji Nasin, Jl. H. Nasin, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,bs.emakprj16@gmail.com,Aktif
Marini,Berdikari,"Jalan Lapangan Merah, Jl. Lap. Merah, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,bs.berdikari3@gmail.com,Aktif
Jawara,Joglo Jawara,"Jalan Masjid Baabul Minan, Jl. Masjid Baabul Minan, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,bs.joglojawara@gmail.com,Aktif
Nuraliyah,Paud Kenanga,"Gang Kenangan, Gg. Kenangan, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Kembangan Utara,kenangabasmol@gmail.com,Aktif
Sri Mulyati,Babe Pitung,"Jalan Aries Utama, Jl. Aries Utama, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Meruya Utara,babepitung41@gmail.com,Aktif
Mesiam,RW 03,"Srengseng, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kembangan,Srengseng,rw03muhayar@gmail.com,Aktif
Siska Elisabeth,Krutilas,"6°09'34.1'S 106°49'02.7'E, Jl. Kh. Zainul Arifin No.19, Krukut, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11140, Indonesia",Taman Sari,Krukut,elisabeth.siska@gmail.com,Aktif
Asep Kusumayadi,Bank Sampah Tomang Asri Sejahtera,"Lapangan Lemigas Rt 016/07, Jl. Tawakal Ujung, Tomang, Grogol Petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Grogol petamburan,Tomang,banksampahtomangasrisejahtera@gmail.com,Aktif
Gembong,Palapa V,"Kedoya Selatan, Kedoya Sel., Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Kebun Jeruk,Kedoya Selatan,banksampahpalapa5@yahoo.com,Aktif
Jumiranti,Bank sampah melati,"6°10'31.8'S 106°48'23.1'E, Gg. Pelita 5 No.32, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",Palmerah,Jati Pulo,Jumiarti05@gmail.com,Aktif
M.Rosiq,Bank Sampah Bambu Kuning,"Kota Bambu Utara, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Kota Bambu Utara,bambukuning0312@gmail.com,Aktif
Sumiati,Bank Sampah Lely Bersih,"Jatipulo, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Jati Pulo,Delimalely06@gmail.com,Aktif
Asep sopian,Bank Sampah Komplek Hankam,"Palmerah, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Palmerah,Hankam0602@gmail.com,Aktif
Yayay Supriyatna,Bank Sampah Kelurahan Pekojan,"Pekojan, Pekojan, Tambora, Kota Jakarta Barat, DKI Jakarta, Indonesia",Tambora,Pekojan,pekojantambora@gmail.com,Aktif
Ali,Sampah Rumah,"7°10'46.2'S 112°38'58.1'E, Jl. Awikoen No.1, Sidokumpul, Kec. Gresik, Kabupaten Gresik, Jawa Timur 61123, Indonesia",,Kembangan Utara,jerokporot25@gmail.com,Aktif
Jati Prasetiyo,Bank Sampah,"6°08'27.2'S 106°43'04.8'E, Jl. Bina Serasih I Blok B No.9, Pegadungan, Kalideres, Kota Jakarta Barat, DKI Jakarta 11830, Indonesia",Kalideres,Cengkareng Barat,jatiprasetiyo5933@gmail.com,Aktif
"Eddy Turmanto, Ellen Nayoan, Soedjatmoko, bBnny Mesali, Elvie Tampi",Tanjung,"6°09'31.4'S 106°47'41.9'E, Jl. Dr. Semeru I No.23, Grogol, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11450, Indonesia",Grogol petamburan,Grogol,banksampahtanjung7@gmail.com,Aktif
Heru,Tpst3r Karya Mandiri,"Jalan Pelopor, Jl. Pelopor, Tegal Alur, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820, Indonesia",Kalideres,Tegal alur,tpst3rkaryamandiri@gmail.com,Aktif
Evii,Karya Gemilang,"Jalan Inspeksi Kali Grogol, Jl. Inspeksi Kali Grogol, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Palmerah,KaryaGemilang101@gmail.com,Aktif
Syukur Leo,Paramitha,"Jalan Bakti V, Jl. Bakti V, Kemanggisan, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480, Indonesia",Palmerah,Kemanggisan,Paramitha78@gmail.com,Aktif
Prihatin,Cemulangpah,"6°08'55.5'S 106°42'11.2'E, Jl. Kalideres Permai No.37, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,yenysuryani24@gmail.com,Aktif
Toto,Doea Djigo,"6°09'07.5'S 106°41'28.3'E, Jl. Sltpn No.42, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, Indonesia",Kalideres,Kalideres,banksampahsmpn225@gmail.com,Aktif
Pak Ade,Okezone,"Caffe Bene, No., Jl. Ir. H.Djuanda No.155, Lebak Siliwangi, Coblong, Bandung City, West Java 40132, Indonesia",Coblong,Cengkareng Timur,sahataandris@gmail.com,Aktif
Cenpai,Cenpai,"6°12'28.2'S 106°43'29.3'E, Jl. Taman Flamboyan No.14, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Meruya Selatan,cenpai@gmail.com,Aktif
Sukmaiyah,Mawar,"Jalan Kemuning Raya, Jl. Kemuning Raya, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Cengkareng Barat,mawarbmb22@gmail.com,Aktif
Raviko,Kedaung Angke,"Jalan Kompleks Departemen Agama, Jl. Komp. Departemen Agama, Kedaung Kali Angke, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710, Indonesia",Cengkareng,Kedaung Kali Angke,kaliangke33@gmail.com,Aktif
Halim,Citra 19,"Jalan Utama I, Jl. Utama I, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Cengkareng Barat,citrasembilan11@gmail.com,Aktif
Antih,Bangkit Daya,"Perumahan Unilever Terusan H. Sa'aba, Jl. Putri Tunggal 2 No.38, RT.5/RW.5, Meruya Sel., Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610, Indonesia",Kembangan,Meruya Selatan,bs.bangkitdaya@gmail.com,Aktif
Nia,Nia,"Perumahan Buana Permai, Jalan Kh. Hasyim Ashari, Cipondoh, Kec. Tangerang, Kota Tangerang, Banten 15148, Indonesia",Kec. Tangerang,Kedaung Kali Angke,niea.lintangshop@gmail.com,Aktif
Boas,Bank Sampah Boas,"4°13'13.5'S 19°03'25.9'W,",,Cengkareng Barat,wisanggenidamar@gmail.com,Aktif
Masturi (Puri),Bank Sampah Wijaya Kusuma,"6°10'37.0'S 106°42'10.2'E, Gg. Hamsard No.2-114, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",Cengkareng,Duri Kosambi,masturipuri1@gmail.com,Aktif
Osis,Perintis,"Jalan Raya Duri Kosambi, Jl. Raya Duri Kosambi, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",Cengkareng,Duri Kosambi,sdndurkos04@gmail.com,Aktif
Dicky,Dicky,"Martina Berto Cuy, Jl. Pulo Kambing II No.1, RW.11, Jatinegara, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13930, Indonesia",,Cengkareng Barat,leonarddicky@gmail.com,Aktif
Rudi,Mandiri,"Rawa Buaya, RT.1/RW.6, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Rawa Buaya,sampahmandiri22@gmail.com,Aktif
RPTRA,Karina Sayang,"Rawa Buaya, RT.1/RW.6, Cengkareng Bar., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730, Indonesia",Cengkareng,Rawa Buaya,karinasayang22@gmail.com,Aktif
Ryan,Emas Kelurahan Kebon Jeruk,"Jalan Kebon Jeruk Baru, Jl. Kb. Jeruk Baru, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Kebun Jeruk,Kebon Jeruk,bskelkebonjeruk@gmail.com,Aktif
Aroh,Posyandu RW 02,"Jalan Tanjung Duren Utara 3, Jl. Tanjung Duren Utara 3, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol petamburan,Tanjung Duren Utara,posyandu02tdu@yahoo.com,Aktif
Namin,Dipo RW.03,"Jalan Tanjung Duren Utara IV, Jl. Tanjung Duren Utara IV, Tj. Duren Utara, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol petamburan,Tanjung Duren Utara,banksampahdipottdu03@gmail.com,Aktif
Hary,Pesona,"Jalan Pelita 7, Jl. Pelita 7, Jatipulo, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11430, Indonesia",Palmerah,Jati Pulo,Pesona29@yahoo.com,Aktif
Sefudin,Bank Sampah ORANGE,"Jl. Kusuma Blok A7 No.1, Jl. Kusuma Blok A7 No.1, Jelambar Baru, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar Baru,Banksampahorange@gmail.com,Aktif
Sahbani,UPK tambora,"6°08'36.3'S 106°47'24.3'E, Jl. Term. Angke, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Tambora,Angke,sabeni888@gmail.com,Aktif
Winarsih,Basuki,"Jalan Rawa Kepa VII, Jl. Rawa Kepa VII, Tomang, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440, Indonesia",Grogol petamburan,Tomang,sdntomang11@gmail.com,Aktif
Alim,Citra RW 019,"Jalan Keharmonisan 2, Jl. Keharmonisan 2, Pegadungan, Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11830, Indonesia",Kalideres,Pegadungan,citra19pegadungan@gmail.com,Aktif
Sukardi,MAWAR KECAMATAN,"Cengkareng, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Cengkareng Barat,mawarcengkareng@gmail.com,Aktif
Irfan,Matahari,"Cengkareng Timur, Cengkareng Tim., Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Cengkareng,Cengkareng Timur,mataharicengtim@gmail.com,Aktif
Supriawan,Tunas Mekar,"Jalan Ori 1, Jl. Ori 1, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,TunasMekar@yahoo.com,Aktif
Baliyo,Delima,"Jalan Kota Bambu Selatan, Jl. Kota Bambu Selatan, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,Delima29@gmail.com,Aktif
Anthony,Sahabat,"Jalan Ks. Tubun Raya, Jl. Ks. Tubun Raya, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,Sahabat@yahoo.com,Aktif
Wahyu Hidayat,Geulis,"Jalan Kota Bambu Selatan, Jl. Kota Bambu Selatan, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,Geulis29@yahoo.com.com,Aktif
Azwar Laware,Gema Puspah,"Jalan Ks. Tubun Raya, Jl. Ks. Tubun Raya, Kota Bambu Utara, Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,GemaPuspah@gmail.com,Aktif
Monic,Siwali,"Jalan Taman Alfa Indah C. 1, Jl. Taman Alfa Indah C. 1, Joglo, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11640, Indonesia",Kembangan,Joglo,alpaindah23@gmail.com,Aktif
Syaiful Anwar,Jembatan Intan RW 02,"Roa Malaka, Roa Malaka, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tambora,Roa Malaka,jembatanintanbanksampah@gmail.com,Aktif
Dwi Lestari,KELOPAK BERSERI,"Village Office Tanjung Duren Selatan Jakarta Barat, Jl. Tanjung Duren Timur 6, RT.11/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol petamburan,Tanjung Duren Selatan,kelopakberseri@gmail.com,Aktif
hasyimashari12.hh@gemail com,Rabel,"Jalan Madrasah II, Jl. Madrasah II, Sukabumi Utara, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11540, Indonesia",Kebun Jeruk,Sukabumi Utara,hasyimashari12.hh@gmai.com,Aktif
Sri,Ganggang,"Jalan Brigjen Katamso, Jl. Brigjen Katamso, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Palmerah,Kota Bambu Selatan,Ganggang29@gmail.com,Aktif
Muhali,Harapan bersama,"Jalan Kota Bambu Selatan I, Jl. Kota Bambu Sel. I, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,Harapan@gmail.com,Aktif
Alan,Tunas Karya,"Jalan Kota Bambu Selatan, Jl. Kota Bambu Selatan, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,TunasKarya@yahoo.com,Aktif
Maulana,Gema Orisa,"Jalan Ori 1, Jl. Ori 1, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,GemaOrisa@gmail.com,Aktif
Siti Azizah,Antilope,"Jalan Tali II, Jl. Tali II, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,Antilope29@yahoo.com,Aktif
Samirin,Hasil Berkah,"Jalan H. Saamani, Jl. H. Saamani, Kota Bambu Sel., Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11420, Indonesia",Palmerah,Kota Bambu Selatan,HasilBerkah@gmail.com,Aktif
Umin,Dupa Mandiri,"Jalan Duri Raya, Jl. Duri Raya, Duri Kepa, Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510, Indonesia",Kebun Jeruk,Duri Kepa,aank.kuswandi@gmail.com,Aktif
Herlinah,Limpat Berkarya,"Jalan Blandongan, Jl. Blandongan, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220, Indonesia",Tambora,Glodok,limpatberkarya37@gmail.com,Aktif
lasipin,Sapu Jagad,"Jl. Keadilan Raya Petak 20 No.2, Jl. Keadilan Raya Petak 20 No.2, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11130, Indonesia",Tamansari,Keagungan,sapujagad02@gmail.com,Aktif
Selamat Budi Mulia,Agung Jaya Raya,"Jalan Keagungan, Jl. Keagungan, Keagungan, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Keagungan,agungjaya57@gmail.com,Aktif
Ratna,Tamsar Berkarya,"Jl. Taman Sari No.17-A, Jl. Taman Sari No.17-A, Taman Sari, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11150, Indonesia",Tamansari,Taman Sari,berkarya01@gmail.com,Aktif
Kipam Agung Pramono,THR Lokasari,"SANTOSO RAYA, Jl. Mangga Besar 1 No.25, RT.1/RW.6, Mangga Besar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",Tamansari,Mangga Besar,thrlokasari02@gmail.com,Aktif
Linda,Leo Berkarya,"Jalan Mangga Besar, Jl. Mangga Besar, Tangki, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",Tamansari,Tangki,leoberkarya@gmail.com,Aktif
M.Sachrony,Sajadu,"Jalan Jembatan Besi VIII, Jl. Jembatan Besi VIII, Jemb. Besi, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11320, Indonesia",Tambora,Jembatan Besi,sajadubanksampah@gmail.com,Aktif
Dra Nina Mutia,Melati 03,"Jalan Duri Selatan VIII, Jl. Duri Selatan VIII, Duri Sel., Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270, Indonesia",Tambora,Duri Selatan,melatibanksampah@gmail.com,Aktif
Bustanul,Langitbiru,"Jalan Hadiah, Jl. Hadiah, Jelambar, Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460, Indonesia",Grogol petamburan,Jelambar,banksampahjelambar08@gmail.com,Aktif
Sri Darliati,Cempaka,"Gang H.Jamhari, Gg. H.Jamhari, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750, Indonesia",Cengkareng,Angke,banksampahangke@gmail.com,Aktif
Sapari,Tambora,"Jalan Duri Utara, Jl. Duri Utara, Duri Utara, Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11270, Indonesia",Tambora,Duri Utara,tamborabanksampah@gmail.com,Aktif
Supriadi,Bank sampah LIBAS UPK Bada Air,"Jl. Mangga Besar No.4, Jl. Mangga Besar No.4, Maphar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160, Indonesia",Taman Sari,Maphar,banklibas@gmail.com,Aktif
"A. Zainuddin, S.Sos",Mangga besar 43,"Jl. Mangga Besar No.3, Jl. Mangga Besar No.3, Mangga Besar, Tamansari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180, Indonesia",Taman Sari,Mangga Besar,manggabesar@gmail.com,Aktif
