npsn,nama_sekolah,alamat,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0100807E7,SMA Negeri 15,"Jl. Agung Utara STS Blok A, Sunter Agung,Tanjung Priok",647.0,39.0,Drs. DADANG HERMAWAN,021 - 6452717,Baik,A
2.0101625E7,SMA Negeri 16,"Jl. Belibis Terusan No. 16, Palmerah,Palmerah",775.0,48.0,"CEDARKUINE, Dra.M.Pd. Hj.",5320137.0,Baik,A
2.0101624E7,SMA Negeri 17,"Jl. Mangga Besar IV / I No.27, Taman Sari,Taman Sari",176.0,33.0,,6392046.0,Baik,A
2.0100809E7,SMA Negeri 18,"Jl. Warakas I, Warakas,Tanjung Priok",711.0,47.0,,021-4353561,Padat/Kumuh,A
2.0101623E7,SMA Negeri 19,"Jl. Perniagaan 31, Tambora,Tambora",332.0,36.0,"Drs. Shohibul Bakhri, MM",6904454.0,Banjir,A
2.0101622E7,SMA Negeri 2,"Jl. Gajah Mada 175, Keagungan,Taman Sari",770.0,39.0,Suharti Latifah,021-6294318,Baik,A
2.0100218E7,SMA Negeri 20,"Jl. Krekot Bunder III/1 Kel. Pasar Baru, Pasar Baru,Sawah Besar",535.0,31.0,"Dra. Hj. NURLAENA, M.Si",021-3440021,Padat/Kumuh,A
2.0103283E7,SMA Negeri 21,"Jl. Tanah Mas Raya No. 1, Kayu Putih,Pulo Gadung",777.0,44.0,"Dra. Mas Ayu Yuliana, M.Pd",4895164.0,Baik,A
2.0103282E7,SMA Negeri 22,"Jl. Kramat Asem, Utan Kayu Selatan,Matraman",926.0,54.0,"Ridoan, MM",8563352.0,Baik,A
2.0101621E7,SMA Negeri 23,"Jl. Mandala Utara, Tomang,Grogol Petamburan",495.0,45.0,"Acep Mahmudin, S.Pd",2.1567273E8,Baik,A
2.0100219E7,SMA Negeri 24,"Jl. Lapangan Tembak Senayan, Gelora,Tanah Abang",521.0,37.0,"Drs. UMARYADI, MM",5736984.0,Baik,A
2.0100221E7,SMA Negeri 25,"Jl. AM. Sangaji No. 22-24, Gambir,Gambir",477.0,33.0,"RACHMAT ABDUS SYUKUR, S.Pd",6331921.0,Baik,A
2.0102218E7,SMA Negeri 26,"Jl. Tebet Barat IV, Tebet Barat,T e b e t",669.0,34.0,"Drs. Sucipto, M.Si",8294645.0,Baik,A
2.0100223E7,SMA Negeri 27,"Jl. Mardani Raya, Johar Baru,Johar Baru",682.0,43.0,"Drs. Sri Rejoko, M.Pd",021-4245969,Padat/Kumuh,A
2.0107319E7,SMA Negeri 28,"Jl. Raya Ragunan, Pasar Minggu, Jati Padang,Pasar Minggu",736.0,49.0,"Dra. Hj. Mulyati Sudjono, M.Pd",7806293 ext. 0,Baik,A
2.0102217E7,SMA Negeri 29,"Jl. Kramat No.6, Kebayoran Lama Utara,Kebayoran Lama",765.0,52.0,"Dra. RATNA BUDIARTI, M.Biomed",7395831.0,Baik,A
2.0102216E7,SMA Negeri 3,"Jl. Setiabudi II, Setia Budi,Setia Budi",8.0,54.0,"Retno Listyarti, S.Pd, M.Si",5254663.0,Baik,A
2.0100224E7,SMA Negeri 30,"Jl. Jend. A. Yani, Cempaka Putih Timur,Cempaka Putih",879.0,55.0,"Dra. HELMI ROSANA, M.A.",021-4244015,Baik,A
2.0103281E7,SMA Negeri 31,"Jl. Kayu Manis Timur, Utan Kayu Selatan,Matraman",1018.0,71.0,MARIHOT MALAU,021-8508665,Baik,A
2.0102215E7,SMA Negeri 32,"Jl. Panjang Komp. Sekneg Baru Cidodol, Grogol Selatan,Kebayoran Lama",1166.0,56.0,"Dra. SRI RAHMINA UTAMI, Kons",021-7395532,Baik,A
2.010162E7,SMA Negeri 33,"Jl. Kamal Raya No. 54, Cengkareng Barat,Cengkareng",790.0,46.0,"Emanuel Hari Wahyana, Drs, MM",6191043.0,Baik,A
2.0102214E7,SMA Negeri 34,"Jl. Margasatwa Raya No. 1, Pondok Labu,Cilandak",837.0,48.0,Drs. Mukhlis,7690064.0,Baik,A
2.0100212E7,SMA Negeri 35,"Jl. Mutiara, Karet Tengsin,Tanah Abang",616.0,50.0,"Dra Hj.SRI SARIWARNI, M.Pd.",2.15709328E8,Baik,A
2.010328E7,SMA Negeri 36,"Jl. Perhubungan Raya, Jati,Pulo Gadung",941.0,68.0,"ADWIANA HARDIYANTI, M.PD.",4893358.0,Baik,A
2.0102213E7,SMA Negeri 37,"Jl. H No.40 Kebon Baru, Kebon Baru,T e b e t",828.0,49.0,"Drs.Ridwan Taopik, M.Pd",8296058.0,Padat/Kumuh,A
2.0102212E7,SMA Negeri 38,"Jl. Raya Lenteng Agung, Lenteng Agung,Jagakarsa",725.0,42.0,"Drs. Imam Prasaja, M.Si.",7270865.0,Baik,A
2.0103296E7,SMA Negeri 39,"Jl. RA. Fadillah, Cijantung,Pasar Rebo",1125.0,76.0,"SUKANDI, DRS, MM",8400278.0,Baik,A
2.0100211E7,SMA Negeri 4,"Jl. Batu No. 3, Gambir,Gambir",562.0,36.0,PUJI RAHARJO,3843937.0,Baik,A
2.010081E7,SMA Negeri 40,"Jl. Budi Mulia Raya, Pademangan Barat,Pademangan",694.0,39.0,Drs. H. SIGIT INDRIYANTO,021- 6402464,Padat/Kumuh,A
2.0100811E7,SMA Negeri 41,"Jl. Laks. R. E. Martadinata, Sunter Agung,Tanjung Priok",211.0,40.0,Drs. Ahmad Paisal,(021) - 6518840,Baik,A
2.0103297E7,SMA Negeri 42,"Jl. Rajawali, Halim Perdana Kusumah,Makasar",877.0,58.0,"Drs. Sonny Juhersoni, M.Pd",8093926.0,Baik,A
2.0102211E7,SMA Negeri 43,"Jl. Minangkabau Dalam, Menteng Atas,Setia Budi",,45.0,"Drs. AGUS WAHYU SUTOPO, M.Pd",8297076.0,Baik,A
2.0103298E7,SMA Negeri 44,"Jl. Delima IV Perum Klender, Malaka Sari,Duren Sawit",767.0,48.0,Drs. ISDIANTORO,2.18615286E8,Baik,A
2.0100812E7,SMA Negeri 45,"Jl. Perintis Kemerdekaan, Kelapa Gading Timur,Kelapa Gading",886.0,47.0,"Drs. Danu, MM",4527345.0,Baik,A
2.010221E7,SMA Negeri 46,"Jl. Mesjid Darussalam, Gandaria Utara,Kebayoran Baru",958.0,61.0,"WANITO HANDOYO,SPd.MPd",7246695.0,Banjir,A
2.0102193E7,SMA Negeri 47,"Jl. Delman Utama I, Kebayoran Lama Utara,Kebayoran Lama",893.0,58.0,"Hj. UMAIROH, S.Pd.,MM",7260904.0,Baik,A
2.0103314E7,SMA Negeri 48,"Jl. Pinang Ranti II No.1, Pinang Ranti,Makasar",893.0,58.0,"Dra. Markorijasti, M.Si.",8006204.0,Baik,A
2.0102592E7,SMA Negeri 49,"Jl. Pepaya No. 9, Jagakarsa,Jagakarsa",127.0,49.0,DRA. RUSMALA NAINGGOLAN,7270167.0,Baik,A
2.010021E7,SMA Negeri 5,"Jl. Raya Sumur Batu, Sumur Batu,Kemayoran",874.0,50.0,"Fatma Erlinda, S.Pd",4243869.0,Baik,A
2.0103313E7,SMA Negeri 50,"Jl. PLN CIPINANG MUARA 3, Cipinang Muara,Jatinegara",814.0,49.0,"Sugiyanti, S.Pd",8195639.0,Baik,A
2.0103312E7,SMA Negeri 51,"Jl. Batu Ampar III, Batu Ampar,Kramat Jati",887.0,52.0,"Hj. Wilin Murtanti, M.Pd.",8093125.0,Baik,A
2.0100797E7,SMA Negeri 52,"Jl. Raya Tugu Semper, Semper Barat,Cilincing",861.0,52.0,"Drs.H. SYAIUN AMIN, MM.",4405378.0,Baik,A
2.0103311E7,SMA Negeri 53,"Jl. Cipinang Jaya 2b, Cipinang Besar Selatan,Jatinegara",768.0,53.0,Dumaria Simanjuntak,8194415.0,Baik,A
2.010331E7,SMA Negeri 54,"Jl. Jatinegara Timur IV, Rawa Bunga,Jatinegara",865.0,57.0,"SUNARYANTO, S.Pd., M.Pd.",021-8194271,Baik,A
2.0102575E7,SMA Negeri 55,"Jl. Minyak Raya, Duren Tiga,Pancoran",799.0,48.0,"Drs. Kartono M, M.Pd",7996120.0,Baik,A
2.0101605E7,SMA Negeri 56,"Jl. Kamal Raya Tegal Alur, Tegal Alur,Kalideres",632.0,46.0,"Adil Minita Ginting, M.Si",5550938.0,Baik,A
2.0101604E7,SMA Negeri 57,"Jl. Raya Kedoya, Kedoya Utara,Kebon Jeruk",635.0,44.0,"Drs. Sukawi, M. Pd",5801665.0,Baik,A
2.0103309E7,SMA Negeri 58,"Jl. Raya Ciracas No. 2, Ciracas,Ciracas",892.0,65.0,Dra. Hj. AYUNI YUNIAR,2.18710377E8,Baik,A
2.0103308E7,SMA Negeri 59,"Jl. Bulak Timur I No.10-11, Klender,Duren Sawit",776.0,51.0,"SETIAWATI, M.Pd",2.18614101E8,Baik,A
2.0102574E7,SMA Negeri 6,"Jl. Mahakam I/2 Blok C, Kramat Pela,Kebayoran Baru",997.0,61.0,DRS. RUKIMAN LUMBAN BATU,7208762/7211067,Baik,A
2.0102573E7,SMA Negeri 60,"Jl. Kemang Timur I No.6, Bangka,Mampang Prapatan",764.0,52.0,SUGIYONO,021-7992054,Banjir,A
2.0103307E7,SMA Negeri 61,"Jl. Taruna Pahlawan Revolusi, Pondok Bambu,Duren Sawit",609.0,45.0,Drs. H. MARTI BUDIONO,8617255.0,Baik,A
2.0103306E7,SMA Negeri 62,"Jl. Raya Bogor Km. 20, Kramat Jati,Kramat Jati",669.0,39.0,"Hj. PATRA PATIAH, M.Biomed",021-8091745,Baik,A
2.0102572E7,SMA Negeri 63,"Jl. AMD Manunggal V/57, Petukangan Utara,Pesanggrahan",666.0,48.0,Sri Rukmini Satiti,021 7354473,Baik,A
2.0103305E7,SMA Negeri 64,"Jl. Raya Cipayung, Cipayung,Cipayung",782.0,63.0,Drs. NANA JUHANA. M.Pd,8444750.0,Baik,A
2.0101589E7,SMA Negeri 65,"Jl. Raya Panjang, Kelapa Dua,Kebon Jeruk",625.0,39.0,"Anang Burhan, S.Pd.",5492759.0,Baik,A
2.0102571E7,SMA Negeri 66,"Jl. Bango III, Pondok Labu,Cilandak",776.0,55.0,Drs. H. SUHARI,7691403.0,Baik,A
2.0103304E7,SMA Negeri 67,"Jl. Skadron Halim Perdanakusuma, Halim Perdana Kusumah,Makasar",892.0,63.0,Dra. Hj. Elia Zulfa,8090386.0,Baik,A
2.0100199E7,SMA Negeri 68,"Jl. Salemba Raya 18, Kenari,S e n e n",840.0,58.0,Drs. RUDI GUNADI,3142929.0,Baik,A
2.0107185E7,SMA Negeri 69 Pulau Pramuka,"Pulau Pramuka, Pulau Panggang,Kepulauan Seribu Utara",480.0,29.0,EDY SUHENDRO,021-70611769,Baik,A
2.01002E7,SMA Negeri 7,"Jl. Karet Pasar Baru Barat V, Karet Tengsin,Tanah Abang",621.0,44.0,"Drs. E. Awaluddin S., M.Pd.",5720934.0,Banjir,A
2.010257E7,SMA Negeri 70,"Jl. Bulungan Blok C, Kramat Pela,Kebayoran Baru",1411.0,77.0,"Drs. ENDANG HIDAYAT, SE, Ed.M",7222667.0,Baik,A
2.0103303E7,SMA Negeri 71,"Jl. H. Dogol Kav. TNI-AL Duren Sawit, Duren Sawit,Duren Sawit",866.0,57.0,"M. MUSYAFA', S.Pd. I","8614112, 86612614",Baik,A
2.0100796E7,SMA Negeri 72,"Jl. Prihatin Komp. TNI AL, Kelapa Gading Barat,Kelapa Gading",762.0,45.0,Dra. Atik Siti Atikah,4502584.0,Banjir,A
2.0100795E7,SMA Negeri 73,"Jl. Raya Cakung Cilincing, Semper Timur,Cilincing",688.0,46.0,"H. AHMAD SAFARI, S.Pd, M.Si",4401622.0,Baik,A
2.0102569E7,SMA Negeri 74,"Jl. Darma Putra XI, Kebayoran Lama Selatan,Kebayoran Lama",759.0,44.0,Dra. Carol Titaley,7260377.0,Baik,A
2.0100779E7,SMA Negeri 75,"Jl. Tipar Cakung, Semper Barat,Cilincing",752.0,46.0,,021 4402862,Baik,A
2.0103302E7,SMA Negeri 76,"Jl. Tipar Cakung, Cakung Barat,Cakung",646.0,40.0,Drs. AGUS JAYA,4602500.0,Baik,A
2.0100201E7,SMA Negeri 77,"Jl. Cempaka Putih Tengah 17, Cempaka Putih Timur,Cempaka Putih",658.0,46.0,"Dra.Hj.Endang Sri Hartini,M.Si",(021) 4243119,Baik,A
2.0101588E7,SMA Negeri 78,"Jl. Bhakti VI/1 Kemanggisan, Kemanggisan,Palmerah",815.0,70.0,"Rita Hastuti, M.Pd",5482914.0,Baik,A
2.010732E7,SMA Negeri 79,"Jl. Menteng Pulo Ujung, Menteng Atas,Setia Budi",665.0,43.0,Drs. Farid Wahidin,8357087.0,Baik,A
2.0102568E7,SMA Negeri 8,"Jl. Taman Bukitduri, Bukit Duri,T e b e t",1035.0,75.0,"Drs. TULUS WINARDI, SH, M.Si.",021-8295455,Banjir,A
2.010078E7,SMA Negeri 80,"Jl. Sunter Karya Selatan V, Sunter Agung,Tanjung Priok",801.0,48.0,,021-64716130,Baik,A
2.0103301E7,SMA Negeri 81,"Jl. Kartika Eka Paksi KPAD Jatiwaringin, Cipinang Melayu,Makasar",778.0,63.0,"Drs. Opsater Marbun, MM",8629940.0,Banjir,A
2.0102566E7,SMA Negeri 82,"Jl. Daha II/15a, Selong,Kebayoran Baru",659.0,42.0,"Drs. Sariaman Sitanggang, MM.",7246413.0,Baik,A
2.0100781E7,SMA Negeri 83,"Jl. Tipar Cakung, Suka Pura,Cilincing",435.0,41.0,"Gatot Handoyo, S.Pd.",4403010.0,Padat/Kumuh,A
2.0101587E7,SMA Negeri 84,"Jl. Peta Barat No.42, Kalideres,Kalideres",778.0,52.0,Drs. Surana,5402584.0,Baik,A
2.0101586E7,SMA Negeri 85,"Jl. Srengseng Raya, Meruya Srengseng,Kembangan",694.0,42.0,Dra. IIS KURNIASIH,021-5840921,Baik,A
2.0102565E7,SMA Negeri 86,"Jl. Bintaro Permai IV No. 36, Bintaro,Pesanggrahan",736.0,51.0,Drs.JANPIKTOR PASARIBU,7341362.0,Baik,A
2.0102564E7,SMA Negeri 87,"Jl. Mawar II Bintaro, Pesanggrahan,Pesanggrahan",639.0,50.0,"Dra. Hj. Hasnati Ramli, M.Pd",7.3881969E7,Baik,A
2.01033E7,SMA Negeri 88,"Jl. Sawo Indah, Baru,Pasar Rebo",628.0,45.0,"SUSILA HARTONO, M.Pd.",8701460.0,Baik,A
2.0103299E7,SMA Negeri 89,"Jl. Kayu Tinggi, Cakung Timur,Cakung",736.0,46.0,"Taga, M.Pd",4604602.0,Padat/Kumuh,A
2.0103279E7,SMA Negeri 9,"Jl. SMU Negeri 9, Kebon Pala,Makasar",777.0,51.0,"Dra. Niken Irianti, M.Pd",021 - 8005964,Baik,A
2.0102563E7,SMA Negeri 90,"Jl. Sabar Petukangan, Petukangan Selatan,Pesanggrahan",1057.0,65.0,"Drs. Burhanuddin, M.Pd",7341866.0,Baik,A
2.0103278E7,SMA Negeri 91,"Jl. Lembah Lontar, Pondok Kelapa,Duren Sawit",725.0,52.0,"Drs. NANA JUHANA, M.Pd",8640063.0,Baik,A
2.0100782E7,SMA Negeri 92,"Jalan Asrama Pemadam Kebakaran, Semper Barat,Cilincing",789.0,48.0,Drs. AGUS JAYA,4.4832842E7,Baik,A
2.0103258E7,SMA Negeri 93,"Jl. Raya Bogor Komplek Paspampres, Kampung Tengah,Kramat Jati",783.0,48.0,"HJ. WIEKE SALEHANI, M.Pd",8402939.0,Baik,A
2.0101585E7,SMA Negeri 94,"Jl. Semanan Raya, Semanan,Kalideres",236.0,39.0,"Nengsih, S.Pd.",5417052.0,Baik,A
2.0101584E7,SMA Negeri 95,"Jl. Satu Maret No.49, Pegadungan,Kalideres",885.0,54.0,"Dr. Herman Syafri, M.Pd.",5.437193E7,Banjir,A
2.0101583E7,SMA Negeri 96,"Jl. Jati Raya 40, Cengkareng Timur,Cengkareng",765.0,45.0,"Tuti Maryati,S.Pd",021-5403058,Padat/Kumuh,A
2.0102562E7,SMA Negeri 97,"Jl. Brigif 2, Ciganjur,Jagakarsa",1042.0,62.0,,(021) 7270960,Baik,A
2.0103257E7,SMA Negeri 98,"Jl. Jaha No.1, Kalisari,Pasar Rebo",1075.0,70.0,"ACAH RIANTO, SPD",8714579 / 8708519,Baik,A
2.0103256E7,SMA Negeri 99,"Jl. Cibubur II, Cibubur,Ciracas",1040.0,64.0,"MULYADI,S.Pd",021-8700979,Banjir,A
2.0102576E7,SMA Negeri Ragunan Jakarta,"Komplek Gelora Ragunan, Ragunan,Pasar Minggu",,22.0,Drs. Rasmadi,021-7801662,Baik,B
2.0109933E7,SMA Negeri Unggulan M. H. Thamrin,"Jl. Bambu Wulung, Bambu Apus,Cipayung",229.0,20.0,"Drs. Dwi Arsono, M.Si","8459669, 84597845",Baik,A
