nama_pompa,wilayah,jumlah_pompa,kapasitas,latitude,longitude
Kebon Baru Jl. D,Selatan,2,"0,5",-62.317.770.347,106.863.988.275
Kebon Baru Jl. H,Selatan,2,"0,5",-623.432.010.412,106.866.138.484
Kebon Baru Jl. J,Selatan,2,1,-623.476.032.168,106.864.936.017
Kemang Raya,Selatan,1,"0,5",-625.512.599.945,106.808.545.589
Kemang Selatan 8,Selatan,2,"0,5",-626.703.551.039,106.812.928.319
Jl. Madrasah,Selatan,1,"0,25",-62.600.452.546,106.772.391.172
Mujair,Selatan,2,"0,5",-63.011.185.918,10.683.613.563
Pengadegan,Selatan,1,"0,3",-624.888.508.581,106.854.749.992
Poncol,Selatan,2,1,-627.631.586.976,106.791.392.695
Pondok Labu,Selatan,2,"0,5",-629.576.565.698,106.812.431.859
Terowongan Manggarai,Selatan,,,-620.814.308.524,106.848.264.746
Underpass Kebayoran Lama,Selatan,4,1,-623.894.071.206,106.783.227.213
Waduk Setiabudi Barat,Selatan,7,"8,9",-62.040.104.717,106.826.409.018
Waduk Setiabudi Timur,Selatan,6,"8,4",-62.046.213.448,106.829.385.012
Lemigas,Selatan,1,"0,06",-623.464.146.629,106.771.549.964
Kebun Nanas/Upp,Timur,4,"0,65",-6.231.867,106.877.088
Up Di Panjaitan,Timur,6,"0,6",-6.239.909,10.687.932
Cipinang Cempedak,Timur,,,-6.240.669,106.878.108
Up Cawang,Timur,4,"0,35",-6.246.783,106.875.316
Brantas,Timur,2,1,-6.240.027,106.877.557
Bidara Cina,Timur,8,"1,2",-6.228.849,106.865.037
Upp,Timur,1,"0,25",-6.229.001,106.878.121
Asmi,Timur,2,1,-6.170.619,106.887.212
Pulomas,Timur,3,"7,5",-6.166.749,106.880.864
Pintu Air Pasar Ikan,Utara,-,-,-612.669,106.809.655
Sunter Timur 3,Utara,3,15,-6.121.071,106.896.744
Kelapa Gading (Don Bosco),Utara,2,4,-6.166.533,106.913.548
Kapuk Junction,Utara,3,"4,5",-611.779.698.171,106.737.015.015
Muara Angke,Utara,3,2,-610.746.796.243,106.768.009.029
Pluit,Utara,10,47,-610.907.603.055,106.796.648.987
Tanjungan,Utara,3,12,-6.107.511,106.726.303
Ancol,Utara,3,15,-6.126.166,106.852.418
Sunter Timur 1 Kodamar,Utara,3,"3,9",-6.155.079,106.886.893
Bimoli,Utara,2,3,-612.750.096.247,106.784.438.984
Kapuk 1,Utara,4,4,-613.792.897.202,106.776.150.037
Kapuk 2,Utara,3,"2,25",-613.270.000.555,106.776.027.996
Kapuk Muara,Utara,1,"0,25",-613.673.002.459,106.763.673.993
Teluk Gong,Utara,3,3,-613.349.796.273,106.777.648.972
Dewa Ruci,Utara,3,"1,5",-610.839.198.343,106.921.872.022
Ikip,Utara,3,"0,8",-616.275.600.158,106.881.371.001
Sumarecon/Tugu Utara,Utara,1,"0,5",-614.229.602.739,106.910.284.963
Sunter Kirana,Utara,2,"0,5",-615.038.900.636,106.889.020.996
Sunter Selatan,Utara,6,15,-614.988.600.835,106.861.000.964
Sunter Utara,Utara,4,20,-612.056.401.558,106.866.422.966
Yos Sudarso 1,Utara,3,"2,4",-61.548.849.754,106.886.295.034
Yos Sudarso 2,Utara,2,"1,6",-61.425.550.282,106.891.230.969
Bendungan Melayu,Utara,2,"1,6",-613.031.200.133,106.903.692.009
Cilincing Raya,Utara,,,-610.093.301.162,10.694.034.297
Wtc,Utara,2,"0,75",-613.386.902.958,106.831.565.984
Gaya Motor 1,Utara,1,"0,25",-614.093.396.813,106.886.218.004
Gaya Motor 3,Utara,1,"0,25",-613.996.602.595,106.883.162.968
Mobile Viaduct,Utara,2,1,-613.154.598.512,106.831.018.981
Pinang,Utara,2,2,-611.223.198.473,106.903.608.022
Sindang,Utara,2,"1,6",-611.553.696.916,106.895.979.987
Lagoa,Utara,1,"0,5",-611.084.000.207,106.906.962.041
Kali Duri,Utara,3,6,-614.238.495.938,10.678.983.802
Kapuk B1,Utara,,,-614.185.798.913,106.775.330.035
Kampung Gusti,Utara,1,"0,25",-614.362.397.231,106.778.172.003
