nama,npsn,bentuk_pendidikan,alamat_jalan,desa_kelurahan,kode_wilayah,kode_pos,latitude,longitude,nomor_telepon,nomor_fax,email,website,status_sek
Great Bambi Clubs Aiueo,69820778,1,Jl. Raya Pondok Gede No.36 Rt.002/01,Pinang Ranti,16404,,0,0,,,,,2
Hansel And Gretel Preschool,69889466,1,JL. TEROGONG RAYA NO. 34,,16303,,0,0,,,,,2
Happy Holly Kids Plus,69795478,1,Jl. Raya Boulevard,Kelapa Gading Timur,16105,,0,0,,,,,2
Harapan Jaya,20177831,1,JALAN SETIA C2/29 CENGKARENG TIMUR,Cengkareng Timur,16207,,0,0,,,,,2
Highscope Indonesia Jakarta - Cilandak,90101137,1,"JL. TB Simatupang No. 8 Cilandak, Jakarta Selatan",,16303,,0,0,021-75917888,2175917887,safrul.a@highscope.or.id,http://highscope.or.id,2
Indah Dahlia,20110259,1,Jl Abadi Blk I No. 27,Duren Sawit,16407,,0,0,,,,,2
Integrated Childrens Academy,69947976,1,Jl. Pakubuwono VINo.6 Rt. 008/04,Gunung,16306,,0,0,,,,,2
Ipeka Integrated Christian School,90101100,1,Jl. Batu Mulia Taman Meruya Ilir Blok K,Meruya Utara,16201,,-6.192459,106.735396,021-58905890,2158905890,olga.octaviani@IIcs.sch.id,http://IIcs.sch.id,2
Iqro Islamic Preschool,69795414,1,Boulevard Bukit Gading Raya,Kelapa Gading Barat,16105,,0,0,,,,,2
Islam Annur Huda,20109959,1,JL. JAMBU UJUNG NO. 35 RT 02/06,Cijantung,16401,,0,0,,,,,2
Islam Toledo,20109947,1,JALAN LAPAN NO 25,Pekayon,16401,,0,0,,,,,2
Jakarta Intercultural School,90101105,1,"Jl. Pattimura I no 2, Kebayoran Baru Jakarta Selatan",,16306,12110,0,0,021-7692555,7222301,,,2
Jakarta Intercultural School,90101063,1,Jl. Duta Indah III  Pondok Indah  Jakarta Selatan,Gandaria Selatan,16303,,-6.28609,106.782353,021-7692555,7507618,,http://jisedu.or.id,2
Jakarta Taipei School,90101092,1,"Jl. Raya Kelapa Hybrida, Blok Qh Kelapa Gading, Jakarta Utara",Kelapa Gading Barat,16105,,0,0,,,,,2
Kartika X-7,20109951,1,JL. RAYA BOGOR ASRAMA YONIF 201,Pekayon,16401,,0,0,,,,,2
KB & TK Mawar Saron,69795386,1,Hibryda Timur,Pegangsaan Dua,16105,,0,0,,,,,2
KB Al-Mubasyirien,69795643,1,Jl. Kalibaru Barat IV,Kali Baru,16106,,0,0,,,,,2
KB Wening,69795455,1,Jl. Patimura No. 47,Rawabadak Selatan,16104,,0,0,,,,,2
KB&TK Rising Stars,69830983,1,PANCORAN TIMUR 20,Pancoran,16308,12780,-6.249667,106.843121,021-79182818,,info@risingstars-school.com,http://risingstars-school.com,2
Kinderland,90101142,1,"JL. Caringin Barat No. 1, Cilandak Barat, Jakarta Selatan",,16303,,0,0,,,,,2
Kinderland,90101133,1,"JL. Bona Vista Raya, Perum Bona Indah Garden, Lebak Bulus, Cilandak, Jakarta Sel",,16303,,0,0,,,,,2
Kinderland KB,90101167,1,"Jl. Caringin Barat No. 1, Cilandak Barat, Jakarta Selatan",,16303,,0,0,,,,,2
Kinderland TK,90101085,1,"Jl. Kayu Putih Raya  Blok A-IV, Kav 1-4 Pulo mas, Jakarta Timur",Pisangan Timur,16409,,0,0,,,,,2
Kokeci,69820676,1,KEUANGAN RAYA 2A,Cilandak Barat,16303,,0,0,,,,,2
Lembaga Uji Coba Rubah Lagi Alfi,0,1,Jl. baru edit,Ujicoba,,10510,114,934,021-700000,21700000,ujicoba@paud.com,http://lembagaujicobaedit.com,2
Little Apple School,69795413,1,Komp. Kokan Permata Gading Blok B-6/7 Jln. Boulevard BGR,Kelapa Gading Barat,16105,,0,0,,,,,2
Mathlaul Ulum,20110254,1,Jl Bangun Jaya Blk D No.24-25,Duren Sawit,16407,,0,0,,,,,2
Mawar,69820885,1,Jl. Irma II No.17 Rt.005 Rw.03,Cipayung,16403,,0,0,,,,,2
Melati Mekar,20109946,1,JALAN GANG BUAH PEKAYON,Pekayon,16401,,0,0,,,,,2
North Jakarta Intercultural School,90101158,1,"Jl. Boulevard Bukti Gading Raya, Kelapa Gading - Jakarta Utara, DKI Jakarta",,16105,,0,0,,,,,2
North Jakarta Intercultural School,90101157,1,"Jl. Boulevard Bukti Gading Raya, Kelapa Gading - Jakarta Utara, DKI Jakarta",,16105,,0,0,,,,,2
PAUD Acacia House,69918428,1,Jl. Puri Kembang Timur Blok F1 No.39 11610,Kembangan Selatan,16201,,0,0,,,,,2
PAUD Aisyiyah 64 Jelambar,69856702,1,Jl. Latumenten 2 No.64 Rt.3/11,Jelambar,16204,,0,0,,,,,2
PAUD Al Jannah,69934331,1,JL. CIPINANG JAYA II.A RT. 007 RW. 007,Cipinang Besar Selatan,16406,13410,0,0,,,tkitaljannah@gmail.com,http://tkitaljannah.blogspot.com,2
PAUD Al-Hidayah,69821062,1,Jl. Dukuh V No.2 Rt.009/05 No.2,Dukuh,16405,,0,0,,,,,2
PAUD Asy-Syakirin,69936654,1,Jl. R.M. Kahfi I Ciganjur RT. 006/01,Cipedak,16301,,0,0,,,,,2
PAUD Baitul Izzah,69830938,1,JL. HAJI JIAN RT 006/07 NO. 19,Cipete Utara,16306,12150,-6.3066,106.8311,021-7200792,,paud.baitulizzah@yahoo.com,,2
PAUD Episentrum Logos,69866583,1,TAMAN SURYA 5 BLOK PP1 NO.18,Pegadungan,16208,,0,0,,,,,2
PAUD Imanusakti,69954455,1,Jl. Waru V No. 02 Cengkareng Indah RT 014/009 Kel. Kapuk Kec. Cengkareng,Kapuk,16207,,0,0,,,,,2
PAUD Jubilee,69922876,1,Jl. Sunter Jaya I No.1 Rt.017 Rw.005,Sunter Agung,16103,14350,0,0,021-65300300,2165300800,paudjubilee@gmail.com,http://jubilee-jkt.sch.id/,2
PAUD Kakak Tua 012,69821135,1,Jl.Cipinang Pulo RT.012 RW.012,Cipinang Besar Utara,16406,13410,0,0,0878-77456708,,paudkakatua@gmail.com,,2
PAUD Mawar 07,69922869,1,Jl. Gabus Raya Rt.010 Rw.007,Sunter Jaya,16103,14350,0,0,,,,,2
PAUD Nurul Qomariyyah,69954613,1,Jl. Fajar Baru Selatan RT001/012,Cengkareng Timur,16207,11730,0,0,,,,,2
PAUD Permata Bunda Plus,69856701,1,Jl.H.Tohir Rt 02/013 No.5 Kebon Jeruk Jakarta Barat,Kebon Jeruk,16202,11530,0,0,,,,,2
PAUD Permata Hati,69943888,1,Jl. Blau Safir RT.004 RW.006,Harapan Mulya,16006,,0,0,,,,,2
PAUD Permata Indonesia,69795444,1,Jl. H. Murthado,Tugu Utara,16104,,0,0,,,,,2
PAUD Seruni,69820861,1,Taman Duren Sawit Blok A2/8 RT.008 RW.016,Duren Sawit,16407,,0,0,,,,,2
PAUD Surya Kasih Daan Mogot,69932554,1,Rusunawa Pesakih Blok H RT 15/14,Duri Kosambi,16207,11750,0,0,,,,,2
Pelangi,20109964,1,JL. PAMITRAN RT 11/07 NO. 99,Cijantung,16401,,0,0,,,,,2
Pelita Harapan Kemang Village,90101080,1,"Jl. Pangeran Antasari 36, Kemang Village, Jakarta Selatan",,16303,,0,0,,,,,2
Permata Bunda,20110257,1,Jl Pendidikan Raya VII AG 157 Komp IKIP,Duren Sawit,16407,,0,0,,,,,2
Persiapan,20110260,1,Jl nakula Raya No. 10,Duren Sawit,16407,,0,0,,,,,2
Pondok Indah Global School,90101144,1,"JL. Duta Indah, Pondok Indah, Jakarta Selatan",,16305,,0,0,,,,,2
Preschool Sis Kelapa Gading,69871517,1,Jl. Pegangsaan Dua No. 83,Pegangsaan Dua,16105,,0,0,,,,,2
Puspa Pertiwi,69821134,1,Jl. Bhineka Pintu II Atas TMII No.94 Rt.010/04,Lubang Buaya,16403,,-6.2983,106.8937,,,,,2
Risanti III,69830821,1,Jl. Mawar 149,Cilandak Barat,16303,,0,0,,,,,2
Saint Peter,90101074,1,Jl. Boulevard Timur Raya no 8  Kelapa Gading Jakarta Utara,,16105,,0,0,,,,,2
Sawitri,20110261,1,Jl Swadaya Komplek IKIP,Duren Sawit,16407,,0,0,,,,,2
Singapore School Bona Vista,90101117,1,"Jl. Bona Vista Complek Jl. Bona Vista Raya, Lebak Bulus, Jakarta Selatan",,16303,,0,0,,,,,2
Singapore School Kebon Jeruk,90101089,1,"Jl. Meruya Ilir no 89 Meruya Utara Kembangan, Kebon Jeruk, Jakarta Barat",,16202,,0,0,,,,,2
Singapore School Kelapa Gading,90101166,1,"Jl. Pegangsaan Dua No. 83, Kelapa Gading, Jakarta Utara",,16105,,0,0,,,,,2
Springfield,90101071,1,"Jl. Pulau selayar blok L-4/1, permata buana kembangan, Jakarta Barat",,16201,,-6.1747,106.743239,,,,,2
Syarifatunnisa,20109952,1,JL. BELLY NO 22 RT 06/06 PEKAYON,Pekayon,16401,,0,0,,,,,2
Tetum Bunaya,69830715,1,Jl. Timbul IV. B.No.1,Cipedak,16301,,0,0,,,,,2
TK . Bangun,69857016,1,JL.LANJI NO.2,Papango,16103,,0,0,,,,,2
TK 17 Agustus,20111316,1,JL. TEBET BARAT DALAM IV,Tebet Barat,16309,,0,0,,,,,2
TK 17 Agustus,20111317,1,JL. SENOPATI NO. 74,Selong,16306,,0,0,,,,,2
TK 17 Agustus,69789281,1,TK 17 AGUSTUS,Selong,16306,,0,0,,,,,2
TK 2 Uji Coba,11111110,1,Jl. Baru Baru,Tanah Abang,16305,,0,0,,,,,1
TK Abata,69820767,1,JL. KAYU PUTIH RAYA NO.30,Pulo Gadung,16409,,-6.185435,106.89142,021-4898133,214898133,abata@abatakindergarten.com,http://abatakindergarten.com,2
TK ABC,69795441,1,Jl. Indo Kaya Barat Blok D / 4,Papango,16103,,-6.134504,106.872224,,,,,2
TK Abc Smart,,1,JL. MAKMUR RT 001 RW 005,Munjul,16403,13850,0,0,,,,,2
TK ABCDE,69856700,1,Jl. Sasak I no.17,Kelapa Dua,16202,11550,-6.206774,106.771074,021-60372888,,opr.tkabcde@yahoo.co.id,,2
TK Abdi Siswa II,69832169,1,"Taman Aries, Blok E9/1",Meruya Utara,16201,11620,0,0,021-5659055,215659056,absiswa@cbn.net.id,,2
TK Abdi Siswa II,20110825,1,PERUM TAMAN ARIES E-9/1,Maruya Utara,16201,,0,0,,,,,2
TK Abdi Siswa III,20110826,1,JL. DKI MERUYA SELATAN,Maruya Selatan,16201,11650,-6.208535,106.727865,021-5853142,,,,2
TK Abu Jiddah,20110827,1,JL. WARUNG GANTUNG NO. 37,Kalideres,16208,11840,-6.15567,106.688806,0857-10399553,,moelhamah72@gmail.com,,2
TK ACG School Jakarta,90101101,1,"Jl. Taman Margasatwa No 19 Warung Jati Barat Ragunan, Jakarta Selatan",Cilandak Timur,16302,,0,0,,,,,2
TK ACS Jakarta,20112209,1,JL. BANTAR JATI RT. 007/02,Pondok Ranggon,16403,,0,0,,,,,2
TK ActIVe Learning Centre,69945678,1,Apartemen Mediterania Palace Unit C/OR/KHS 2-3 RT.010 RW.013,Kebon Kosong,16006,,0,0,021-30044014,,centre_alc@yahoo.com,,2
TK Ad Dawah,20110573,1,JL. BIRU LAUT BARAT,Kelapa Gading Timur,16105,,0,0,,,,,2
TK Adayaksa XXI,20111319,1,JL. ADHYAKSA IV NO. V,Lebak Bulus,16303,,0,0,,,,,2
TK Ade Tia,20109953,1,KOMPLEK PANASONIC MANUFACTURING,Pekayon,16401,13710,-6.3512,106.8599,021-87717920,87717922,tkadetia@yahoo.co.id,,2
TK Ade Tia,20111752,1,Jl. Raya Bogor Km. 24,Pekayon,16401,,0,0,,,,,2
TK Adhyaksa XXI,69830799,1,ADHYAKSA IV,Lebak Bulus,16303,12440,0,0,021-7666743,,tkadhyaksaxxi@gmail.com,,2
TK Adhyaksa XXI,69789195,1,JL.ADHYAKSA IV/V,Lebak Bulus,16303,,0,0,,,,,2
TK Adidarma,20109654,1,JL.SKIP UTAN KAYU,Utan Kayu,16410,13120,0,0,,,,,2
TK Adik Irma,69831009,1,TEBET BARAT IV RAWA BILAL,Tebet Barat,16309,12810,0,0,021-8309287,218309287,tkadikirma22@gmail.com,http://adikirma.com,2
TK Adik Irma,20111320,1,JL. TEBET BARAT DALAM IV,Tebet Barat,16309,,0,0,,,,,2
TK Adik Irma,69785842,1,TEBET BARAT IV RAWA BILAL,Tebet Barat,16309,,0,0,,,,,2
TK Adinda,69856712,1,Jl. Cenderawasih VINo.47,Cengkareng Barat,16207,11730,-6.141152,106.719217,0812-18570947,,rennysonyawati@yahoo.co.id,,2
TK Adinda Kita,20110241,1,JL. CIBUBUR I RT 002/12 CIBUBUR,Cibubur,16402,13720,0,0,021-8703640,,ilinosa@yahoo.co.id,,2
TK Advent,20110354,1,JL. SAWO NO. 27,Kelurahan Gondangdia,16002,,0,0,,,,,2
TK Advent IV Benhil,20110355,1,JL. BEND. JATILUHUR NO. 62,Kelurahan Bendungan Hilir,16001,10210,0,0,021-5749487,,,,2
TK Ahbabur Rahman,69903435,1,"Jln Kebon Bar, Belimbing Terusan No.6 Rt.014/012 Semper Barat Cilincing Jakarta",Semper Barat,16106,14130,0,0,,,,,2
TK Ai Syiyah 70,20110574,1,JL. LUAR BATANG V/45,Penjaringan,16101,,0,0,,,,,2
TK Aisiyah 20,69789287,1,TEBET BARAT XE I,Tebet Barat,16309,,0,0,,,,,2
TK Aisiyah 63,69789285,1,MENTENG DALAM,Menteng Dalam,16309,,0,0,,,,,2
TK Aisiyah 65,69789237,1,N KAVLING NO 34 RT 07 RW 14,Kebon Baru,16309,,0,0,,,,,2
TK Aisiyah 95,69789235,1,ASEM BARIS RAYA GG F BARAT,Kebon Baru,16309,,0,0,,,,,2
TK Aisiyah Bustanul Athfal 7,20110356,1,JL. PETOJO SABANGAN VI/ 13,Kelurahan Petojo Selatan,16008,,0,0,,,,,2
TK Aisyah 3,20110357,1,JL. H. SABENI NO. 22,Kelurahan Kebon Melati,16001,,0,0,,,,,2
TK Aisyah 40,20110828,1,JL. KESEDERHANAAN,Keagungan,16206,,0,0,,,,,2
TK Aisyiah 19,20110358,1,JL. TAMAN BEND. JATILUHUR NO. 18,Kelurahan Bendungan Hilir,16001,,0,0,,,,,2
TK Aisyiah 79,20110359,1,JL. PETAMBURAN V,Gelora,16001,10260,0,0,021-5708608,,,,2
TK Aisyiyah,69830806,1,Jl. Pinang Kalijati,Pondok Labu,16303,12450,0,0,021-7694842,,,,2
TK Aisyiyah,69785954,1,JL.PINANG KALI JATI RT.4/9,Pondok Labu,16303,,0,0,,,,,2
TK Aisyiyah,20111754,1,JL. RAWA KUNING,Pulo Gebang,16408,,0,0,,,,,2
TK Aisyiyah,20111753,1,Jl. Pendidikan Rt.019/05,Penggilingan,16408,,0,0,,,,,2
TK Aisyiyah 10,20110829,1,JL. GELONG BARU,Tomang,16204,11440,-6.173526,106.805552,021-5642664,5642664,aisyiyahtomang@yahoo.co.id,http://tkaisyiyah10.sch.id,2
TK Aisyiyah 13,69831040,1,KARET BELAKANG 1,Karet,16310,12920,-6.214855,106.826036,021-5256729,215256729,tk13aisyiyah@gmail.com,,2
TK Aisyiyah 13,20111321,1,JL. KARBELA I NO. 9,Karet,16310,,0,0,,,,,2
TK Aisyiyah 13,69789246,1,KARET BELAKANG I NO.9,Karet,16310,,0,0,,,,,2
TK Aisyiyah 15,20110575,1,JL. PADEMANGAN IV GG. 8 NO.3A,Pademangan Timur,16102,14410,0,0,,,tkaisyiyah1501@gmail.com,,2
TK Aisyiyah 16,20110576,1,JL. SEROJA NO. 2,Rawa Badak Utara,16104,,0,0,,,,,2
TK Aisyiyah 17,69820322,1,Jl. Rusun Apron 7D No.101,Kebon Kosong,16006,,0,0,,,,,2
TK Aisyiyah 2,20110894,1,JL. DR. SUSILO I,Grogol,16204,,-6.165921,106.79168,021-5633975,,,,2
TK Aisyiyah 20,69831001,1,TEBET BARAT XEI,Tebet Barat,16309,,0,0,021-8354936,,,,2
TK Aisyiyah 20,20111322,1,JL. TEBET BARAT X E/1,Tebet Barat,16309,,0,0,,,,,2
TK Aisyiyah 21,20109699,1,JI.BALAI PUSTAKA BARAT NO.2,Rawamangun,16409,13220,-6.199342,106.883221,021-4700571,214700571,tkaisyiyah2125@gmail.com,,2
TK Aisyiyah 21,20111755,1,JL. BALAI PUSTAKA BARAT NO. 2,Rawamangun,16409,,0,0,,,,,2
TK Aisyiyah 22,20110361,1,JL. JOHAR BARU V/9,Kelurahan Johar Baru,16004,,0,0,,,,,2
TK Aisyiyah 23,20111756,1,JL. JERUK NO. 9 RT.12/06,Utan Kayu Utara,16410,,0,0,,,,,2
TK Aisyiyah 24,20111757,1,JL. MARMER NO. 1,Kayu Putih,16409,13210,0,0,021-4714925,,kb.tkaisyiyah24@gmail.com,,2
TK Aisyiyah 24,20109690,1,JL MARMER NO. 1,,16409,,0,0,,,,,2
TK Aisyiyah 25,69831041,1,Jl. Menteng Pulo Gg Rela I No. 24,Menteng Atas,16310,12960,-6.220441,106.842154,021-8317652,,alikomahbidari@gmail.com,,2
TK Aisyiyah 25,69790221,1,GG.RELA,Menteng Atas,16310,,0,0,,,,,2
TK Aisyiyah 25,20111315,1,JL. RELA I NO. 24,Menteng Atas,16310,,0,0,,,,,2
TK Aisyiyah 27,20109651,1,JL. KH. AHMAD DAHLAN NO.20,Kayu Manis,16410,13130,0,0,021-8571354,218571354,,,2
TK Aisyiyah 27,20111758,1,Jl. Kh.A. Dahlan  No. 20,Kayu Manis,16410,,0,0,,,,,2
TK Aisyiyah 28,69789213,1,Jl. Panjang,Cipulir,16305,12230,-6.231219,106.770115,021-7231180,,aisyiyah28jkt@gmail.com,,2
TK Aisyiyah 28,69830907,1,PANJANG,Cipulir,16305,,0,0,,,,,2
TK Aisyiyah 28,20111323,1,JL. MASJID NUR GROGOL UTARA,Grogol Utara,16305,,0,0,,,,,2
TK Aisyiyah 28 F,69921322,1,Komplek IKPN Blok C 11,Bintaro,16304,,0,0,,,,,2
TK Aisyiyah 29,69830730,1,Jl. Pemuda II No. 80,Srengseng Sawah,16301,12640,-6.361236,106.811485,021-78890921,,edepok@gmail.com,,2
TK Aisyiyah 29,69789126,1,Pemuda II No 80 RT 008 RW 09,Srengseng Sawah,16301,,0,0,,,,,2
TK Aisyiyah 29,20111324,1,JL. PEMUDA II NO. 80 SR. SAWAH,Srengseng Sawah,16301,,0,0,,,,,2
TK Aisyiyah 3,69820281,1,Jl. Sabeni No.22,Kebon Melati,16001,10230,0,0,021-31902487,,teka.aisyiyah3@gmail.com,,2
TK Aisyiyah 31,69820296,1,Jl. Salemba Bluntas I 77,Paseban,16003,,0,0,,,,,2
TK Aisyiyah 31,20110362,1,JL. SALEMBA BLUNTAS I/ 77,Kelurahan Paseban,16003,,0,0,,,,,2
TK Aisyiyah 32,69830725,1,"Jl. Srengseng Sawah No. 17, RT. 010 RW. 009",Srengseng Sawah,16301,12640,0,0,021-7869630,,,,2
TK Aisyiyah 32,20111325,1,JL. SRENGSENG SAWAH NO. 17,Srengseng Sawah,16301,,0,0,,,,,2
TK Aisyiyah 32,69790061,1,JL.SRENGSENG SAWAH NO.17 RT. 010/09,Srengseng Sawah,16301,,0,0,,,,,2
TK Aisyiyah 33,20110830,1,JL. SEMANGKA II NO. 3,Jati Pulo,16203,11430,0,0,,,aisyiyah33jatipulo@yahoo.co.id,http://aisyiyah33jakbar.blogspot,2
TK Aisyiyah 34,20110831,1,JL. JELAMBAR UTARA III/34,Jelambar,16204,11460,-6.154095,106.783546,021-56961028,,,,2
TK Aisyiyah 35,20110363,1,JL. GARUDA NO. 33,Kelurahan Gunung Sahari S,16006,,0,0,,,,,2
TK Aisyiyah 35,69820403,1,Jl.Garuda No. 33,Gunung Sahari Selatan,16006,10610,0,0,,,,,2
TK Aisyiyah 37,69831045,1,MENTENG ATAS SELATAN,Menteng Atas,16310,12960,-6.214241,106.842303,021-8354341,,,,2
TK Aisyiyah 37,69790220,1,MENTENG ATAS SELATAN NO.11,Menteng Atas,16310,,0,0,,,,,2
TK Aisyiyah 37,20111326,1,JL. MENTENG ATAS SELATAN NO. 11,Menteng Atas,16310,,0,0,,,,,2
TK Aisyiyah 38,69820290,1,Jl. Kramat Raya N0.49,Kramat,16003,10450,0,0,021-3924658,,tkaisyiyah38@gmail.com,,2
TK Aisyiyah 38,20110364,1,JL. KRAMAT RAYA 49,Kelurahan Kramat,16003,,0,0,,,,,2
TK Aisyiyah 39,69820373,1,Jl. H Ung Dalam RT.013/02 No.419 G,Utan Panjang,16006,10650,-6.1632,106.8564,021-4262660,,neni.fdl@gmail.com,,2
TK Aisyiyah 39,20110365,1,JL. H. UNG DALAM GG. MASJID,Kelurahan Utan Panjang,16006,,0,0,,,,,2
TK Aisyiyah 4,69831011,1,TEBET TIMUR RAYA NO. 6,Tebet Timur,16309,12820,-6.231064,106.852737,021-8355441,218355441,,,2
TK Aisyiyah 4,69789227,1,JL. TEBET TIMUR RAYA NO. 6,Tebet Timur,16309,,0,0,,,,,2
TK Aisyiyah 4,20111327,1,JL. TEBET TIMUR RAYA NO. 6,Tebet Timur,16309,,0,0,,,,,2
TK Aisyiyah 40,69832205,1,Kesederhanaan,Keagungan,16206,11120,0,0,021-6303282,,,,2
TK Aisyiyah 45,20110832,1,JL. UTAMA SELATAN V/17,Cengkareng Barat,16207,11730,0,0,0856-94722526,,,,2
TK Aisyiyah 46,20111328,1,JL. PENGADENGAN TIMUR III,Pengadegan,16308,,0,0,,,,,2
TK Aisyiyah 46,69789218,1,PENGADEGAN TIMUR 3,Pengadegan,16308,,0,0,,,,,2
TK Aisyiyah 46,69830989,1,PENGADENGAN TIMUR 3,Pengadegan,16308,12770,-6.248742,106.860328,,,,,2
TK Aisyiyah 48,20109744,1,JL. PULO ASEM UTARA XII,,16409,13220,-6.189473,106.893743,021-4700394,,aisyiyah48puloasem@gmail.com,,2
TK Aisyiyah 49,20109689,1,JL.METRO JAYA NO.23,,16409,13210,-6.183692,106.87794,021-47862249,,tkaisyiyah49@gmail.com,,2
TK Aisyiyah 49,20111759,1,JL. METRO JAYA III NO. 23,Kayu Putih,16409,,0,0,,,,,2
TK Aisyiyah 5,69831028,1,BUKIT DURI TANJAKAN,Bukit Duri,16309,12840,0,0,0851-00601814,,aisyiyahlima15@gmail.com,,2
TK Aisyiyah 5,69789270,1,Bukit Duri Tanjakan,Bukit Duri,16309,,0,0,,,,,2
TK Aisyiyah 50,20111329,1,JL. PANJANG CIDODOL,Cipulir,16305,,0,0,,,,,2
TK Aisyiyah 50,69830925,1,Jl. Masjid An-Nur Tanah Koja RT. 009/01 No. 1,Grogol Utara,16305,12210,0,0,,,,,2
TK Aisyiyah 50,69789205,1,JL. MASJID NUR,Grogol Utara,16305,,0,0,,,,,2
TK Aisyiyah 51,20110833,1,JL. G.I. RT. 007 / 02 NO. 34,Slipi,16203,11410,0,0,021-53678564,,sekolahtkaisyiyah51@gmail.com,,2
TK Aisyiyah 54,20109737,1,JL. KEPITING II NO. 9,Jati,16409,13220,-6.1982,106.8929,021-47865560,,tkaisyiyah54@gmail.com,,2
TK Aisyiyah 54 Al-Ihsan,20111760,1,JL. KEPITING II NO. 9,Jati,16409,,0,0,,,,,2
TK Aisyiyah 59,69789120,1,JL.RM.KAHFI I,Cipedak,16301,12630,0,0,0857-80274977,,aisyiyah59cipedak@gmail.com,,2
TK Aisyiyah 59,69830713,1,ASY SYAKIRIN,Cipedak,16301,,0,0,,,,,2
TK Aisyiyah 59,20111330,1,JL. RM. KAHFI I NO. 61,Cipedak,16301,,0,0,,,,,2
TK Aisyiyah 6,20110834,1,JL. ANGGREK NELLY MURNI BLOK B/C,Kemanggisan,16203,11480,0,0,021-5357239,,,,2
TK Aisyiyah 60,20111331,1,JL. MASJID AL MUFLIHUN,Bintaro,16304,12330,0,0,021-73881625,,irfiaisyiyah@gmail.com,,2
TK Aisyiyah 61,69830794,1,KEMUNING DALAM I/73,Pejaten Timur,16302,12510,0,0,021-79192622,,tkaisyiyah61@yahoo.co.id,http://tingali.com/tkaisyiyah61,2
TK Aisyiyah 62,69830795,1,PAGUJATEN RAYA RT003 RW07,Pejaten Timur,16302,12510,0,0,021-7973427,,triaseani@gmail.com,,2
TK Aisyiyah 62,20111332,1,JL. PAGUJATEN TIMUR RT. 003/07 NO.,Pejaten Timur,16302,,0,0,,,,,2
