Column Name (CSV),Wikidata Property (id),Wikidata Property (label),Data Type,Table Name,url
panjang jalan, P2043,panjang,Quantity,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
sistem, P16,sistem jalan bebas hambatan,WikibaseItem,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
status, ,,String,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
suffix, ,,Quantity,Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/cs_CZ/dataset/7cb53b7f-29cc-4fc5-b869-260ab071c22b/resource/c6784361-9396-4650-af9e-6c4512fbc022/download/Data-Jaringan-Jalan-Toll-Provinsi-DKI-Jakarta.csv
jumlah yang ada, P1114,Jumlah,Quantity,Data-Jumlah-Fasilitas-Kesehatan-KB-Di-DKI-Jakarta-Bulan-Januari-s-d-September-Tahun-2015.csv,http://data.jakarta.go.id/dataset/e8e57728-9456-4005-a338-482a1ced8ead/resource/b7104cae-9cba-47e0-9885-9180614fa8f3/download/Data-Jumlah-Fasilitas-Kesehatan-KB-Di-DKI-Jakarta-Bulan-Januari-s-d-September-Tahun-2015.csv
jumlah yang dilaporkan, P1114,Jumlah,Quantity,Data-Jumlah-Fasilitas-Kesehatan-KB-Di-DKI-Jakarta-Bulan-Januari-s-d-September-Tahun-2015.csv,http://data.jakarta.go.id/dataset/e8e57728-9456-4005-a338-482a1ced8ead/resource/b7104cae-9cba-47e0-9885-9180614fa8f3/download/Data-Jumlah-Fasilitas-Kesehatan-KB-Di-DKI-Jakarta-Bulan-Januari-s-d-September-Tahun-2015.csv
wilayah, P131,terletak di wilayah administrasi,WikibaseItem,Data-Jumlah-Fasilitas-Kesehatan-KB-Di-DKI-Jakarta-Bulan-Januari-s-d-September-Tahun-2015.csv,http://data.jakarta.go.id/dataset/e8e57728-9456-4005-a338-482a1ced8ead/resource/b7104cae-9cba-47e0-9885-9180614fa8f3/download/Data-Jumlah-Fasilitas-Kesehatan-KB-Di-DKI-Jakarta-Bulan-Januari-s-d-September-Tahun-2015.csv
jumlah, P1114,Jumlah,Quantity,Data-Jumlah-Fasilitas-Kesehatan-Tahun-2007---2014.csv,http://data.jakarta.go.id/dataset/e357bd34-98ec-458f-b004-357185ce3e5e/resource/63cded1a-c658-42f9-b5d2-b6439c9acbee/download/Data-Jumlah-Fasilitas-Kesehatan-Tahun-2007---2014.csv
tahun, P585,waktu,Time,Data-Jumlah-Fasilitas-Kesehatan-Tahun-2007---2014.csv,http://data.jakarta.go.id/dataset/e357bd34-98ec-458f-b004-357185ce3e5e/resource/63cded1a-c658-42f9-b5d2-b6439c9acbee/download/Data-Jumlah-Fasilitas-Kesehatan-Tahun-2007---2014.csv
fasilitas, P912,mempunyai fasilitas,WikibaseItem,Data-Jumlah-Fasilitas-Pengumpul-Sampah-Sementara-Tahun-2007-2011.csv,http://data.jakarta.go.id/dataset/e3e4913b-f219-49dc-a983-071ffaf9b22c/resource/997b8f06-afee-4d6a-b660-ea60faba7584/download/Data-Jumlah-Fasilitas-Pengumpul-Sampah-Sementara-Tahun-2007-2011.csv
jumlah, P1114,Jumlah,Quantity,Data-Jumlah-Fasilitas-Pengumpul-Sampah-Sementara-Tahun-2007-2011.csv,http://data.jakarta.go.id/dataset/e3e4913b-f219-49dc-a983-071ffaf9b22c/resource/997b8f06-afee-4d6a-b660-ea60faba7584/download/Data-Jumlah-Fasilitas-Pengumpul-Sampah-Sementara-Tahun-2007-2011.csv
tahun, P585,waktu,Time,Data-Jumlah-Fasilitas-Pengumpul-Sampah-Sementara-Tahun-2007-2011.csv,http://data.jakarta.go.id/dataset/e3e4913b-f219-49dc-a983-071ffaf9b22c/resource/997b8f06-afee-4d6a-b660-ea60faba7584/download/Data-Jumlah-Fasilitas-Pengumpul-Sampah-Sementara-Tahun-2007-2011.csv
cc, ,,String,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
diameter, P2386,diameter,Quantity,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
jenis bbm, ,,WikibaseItem,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
kapasitas, P1083,kapasitas duduk,Quantity,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
kewenangan, ,,String,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
lebar kapal, P2049,lebar,Quantity,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
lok sandar, P504,pelabuhan daftar,WikibaseItem,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
merk mesin tipe mesin, ,,WikibaseItem,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
panjang kapal, P2043,panjang,Quantity,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
tahun pembuatan, P571,sejak,Time,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
tinggi kapal , P2048,tinggi,Quantity,Data-kapal-patroli-2017.csv,http://data.jakarta.go.id/dataset/142654a0-597d-412a-b9c1-843148ad7301/resource/e1fd5c9f-6827-404f-9693-d0066386708a/download/Data-kapal-patroli-2017.csv
alamat, P6375,alamat,String,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
kode pos, P281,kode pos,String,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
kota administrasi, P131,terletak di wilayah administrasi,WikibaseItem,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
no telepon, P1329,nomor telepon,String,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
rt, ,,String,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
rw, ,,String,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
wilayah, P131,terletak di wilayah administrasi,WikibaseItem,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
lokasi, P6375,alamat,String,Data-Pelabuhan-K.Seribu-2017.csv,http://data.jakarta.go.id/dataset/01fcad96-f6ab-46ef-9278-cb422ba64664/resource/d6d5bd91-ff46-40f8-a2ed-df14830f56e9/download/Data-Pelabuhan-K.Seribu-2017.csv
status hierarki pelabuhan, ,,WikibaseItem,Data-Pelabuhan-K.Seribu-2017.csv,http://data.jakarta.go.id/dataset/01fcad96-f6ab-46ef-9278-cb422ba64664/resource/d6d5bd91-ff46-40f8-a2ed-df14830f56e9/download/Data-Pelabuhan-K.Seribu-2017.csv
jenis pemakaman, ,,WikibaseItem,Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/3b26cc90-2afc-4d0b-aee8-9d709dede1f9/resource/fd2014a6-a5d6-4610-b74f-de1106247fc2/download/Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv
kecamatan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/3b26cc90-2afc-4d0b-aee8-9d709dede1f9/resource/fd2014a6-a5d6-4610-b74f-de1106247fc2/download/Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv
kelurahan, P131,terletak di wilayah administrasi,WikibaseItem,Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/3b26cc90-2afc-4d0b-aee8-9d709dede1f9/resource/fd2014a6-a5d6-4610-b74f-de1106247fc2/download/Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv
kodifikasi, ,,String,Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/3b26cc90-2afc-4d0b-aee8-9d709dede1f9/resource/fd2014a6-a5d6-4610-b74f-de1106247fc2/download/Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv
kota administrasi, P131,terletak di wilayah administrasi,WikibaseItem,Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/3b26cc90-2afc-4d0b-aee8-9d709dede1f9/resource/fd2014a6-a5d6-4610-b74f-de1106247fc2/download/Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv
lokasi pemakaman, P6375,alamat,String,Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/3b26cc90-2afc-4d0b-aee8-9d709dede1f9/resource/fd2014a6-a5d6-4610-b74f-de1106247fc2/download/Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv
luas pemakaman, P2046,luas wilayah,Quantity,Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/3b26cc90-2afc-4d0b-aee8-9d709dede1f9/resource/fd2014a6-a5d6-4610-b74f-de1106247fc2/download/Data-Pemakaman-di-Provinsi-DKI-Jakarta.csv
adm kesehatan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
adm keuangan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
akupunturis, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
alamat rs, P6375,alamat,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ambulan, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
analis farmasi, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
analis kesehatan, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
apoteker, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
autoclav, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
bank darah, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
bidan klinik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
bidan lainnya, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
bidan pendidik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
biostatik, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
blue light, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
bor, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
ct scan, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
defibrilator, ,,String,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
dietsien, ,,Quantity,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
direktur rs, P1037,manajer/direktur,WikibaseItem,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
