Cell Value (CSV),Wikidata Entity (id),Wikidata Entity (label),Context,Table Name,Url
SUKIRNO S.Pd MM.Pd,,,kepala_sekolah,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
TK Bina Siswa,Q12710460,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
BKB PAUD Teratai,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Kasih Karunia,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
SMP Negeri 99,,,nama_sekolah,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
RA Daarul Fikri,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
Fajrul Islam,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
SMK Negeri 8,Q25468087,SMK Negeri 8 Bandung,nama_sekolah,Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/0d79f976-cf0b-425e-afdf-2865b0118cd1/download/Data-Sekolah-Menengah-Kejuruan-Provinsi-DKI-Jakarta.csv
BKB PAUD Singkong,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
BKB PAUD Melati 03,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
RA Istiqomah,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
SMP Negeri 128,Q19746616,SMP Negeri 128 Jakarta,nama_sekolah,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
TK Sinar Lagoa Indah,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
PAUD Sedap Malam 014,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Islam Darusallam,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK St. Caroline,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Al Ridho,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Tunas Karya II,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Blossom,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Kristen 2 Penabur,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
SMP Negeri 153,Q19740013,SMP Negeri 153 Jakarta,nama_sekolah,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
RA Salsabila Al Kautsar,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
PEGADUNGAN,Q7160534,Pegadungan,NAMA KELURAHAN,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
TK Tat Twam Asi,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
RA Ar Rohmah,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
BUNGUR,Q4997690,Bungur,NAMA KELURAHAN,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
Sementara,Q13545404,Sementara,sifat_izin,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
TK Taman Sakti,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
Hutan Kota Kanal Banjir Barat,,,nama_hutan_kota,processed-hutan-kota-jakarta-luas-status-hukum-alamat.csv,http://data.jakarta.go.id/dataset/7bbae9d6-e125-4536-be8e-c1e2f16de146/resource/093b760b-d797-4ccf-bef6-e6fcec626ca0/download/processed-hutan-kota-jakarta-luas-status-hukum-alamat.csv
TK Islam Az Zahwa,Q12505366,Petogogan,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
PETOGOGAN,,,NAMA KELURAHAN,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
TK Pskd Mandiri,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Islam Bakti II,Q12710590,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Dharma Satria,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
BKB PAUD Flamboyan Rw.09,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
SPS PAUD Kenanga,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
RA As Syuhada 2,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
RA As-Sa`Adah Makbullah,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
PADEMANGAN TIMUR,Q13095593,Pademangan Timur,NAMA KELURAHAN,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
TK Asy Syifa Hanum,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
RA Daarul Wahdah,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Nurul Ihwan,Q12710757,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
RA/BA/TA Sekar Mitra,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Kasih Immanuel,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Al - Ikhlas,Q12710400,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
TK Fajar Indah,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
Nimrod Lumban Tobing Drs,,,kepala_sekolah,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
TK Dahlia,,,NAMA SEKOLAH,data-sekolah-di-kecamatan-cinambo.csv,https://data.go.id/dataset/sekolah-di-kecamatan-cinambo-kota-bandung/resource/6a8a09b9-5d12-4083-9950-54fbc76effa4
TK Patra I,Q25472729,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
Stadion Sepakbola GOR Ragunan,,,gelanggang,Data-Fasilitas-Dinas-Pemuda-dan-Olahraga.csv,http://data.jakarta.go.id/dataset/66de37c9-5be2-46f8-8bda-53b99039c6d7/resource/c78ad873-ffc9-4918-b941-60cccfc979f9/download/Fasilitas-Dinas-Olahraga-dan-Pemuda.csv
SMA Negeri 56,,,nama_sekolah,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
RA/BA/TA RA Al-Hasanah Cipulir,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
KB Al-Anwariyah Idris,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
SMK PGRI 39 Jakarta,Q60609965,SMK PGRI 39 Jakarta,Nama Sekolah,SMKRawanBanjir.csv,http://data.jakarta.go.id/mn_MN/dataset/002db3c6-2252-4aed-a699-de0d28fc0372/resource/c5c76fb6-22e0-4a65-83c0-273a98539e55/download/sekolah-rawan-banjir-2018.csv
Jakarta Pusat Wismarajawali,,,nama_kantor,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
BKB PAUD Seruni,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
Dr. Johanes Leimena M,,,nama_pahlawan,Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv,http://data.jakarta.go.id/dataset/9c344805-d57f-4343-9930-bdac634d0b4b/resource/a0d92108-2d87-4b26-a47e-e7cb6a75e995/download/Data-Pahlawan-Nasional-Beralamat-Di-Jabodetabek-Autosaved.csv
RSK Gigi dan Mulut FKG Univ.Pajajaran,,,nama_rs,data-rumah-sakit-kota-bandung.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/a10/77d/data-rumah-sakit-kota-bandung.csv
SMP Negeri 70,,,nama_sekolah,Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/440f8bb3-b905-4944-afcd-e5880c0bd80a/download/Data-Sekolah-Menengah-Pertama-Provinsi-DKI-Jakarta.csv
PAUD Gandhi Ancol,,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
KENARI,,,NAMA KELURAHAN,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
CIPEDAK,Q13199618,,NAMA KELURAHAN,dkikepadatankelurahan2013.csv,http://data.jakarta.go.id/dataset/7f89597f-d3d8-49eb-9c80-f493f52167f7/resource/a749a19e-6279-4201-990b-58f1c2e98a29/download/dkikepadatankelurahan2013.csv
SPS BKB PAUD Melati,Q12479243,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
Taman Antariksa,,, Nama Taman,data-taman-kec.arcamanik-2016.csv,https://git.bandung.go.id/opendatabdg/databdg/raw/master/resources/710/b74/data-taman-kec.arcamanik-2016.csv
Jakarta Timur Kampung Dukuh,,,nama_kantor,Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv,http://data.jakarta.go.id/dataset/cf99eb0b-1818-4beb-bb26-3c185cac2620/resource/09de786f-ed0f-40b2-a7fc-7d97452766ca/download/Daftar-Kantor-Pelayanan-Pajak-Di-DKI-Jakarta-edited.csv
TK Al Badriyah,Q25472133,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
Drs. ENDANG HIDAYAT SE Ed.M,,,kepala_sekolah,Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv,http://data.jakarta.go.id/dataset/af34dfc5-f45e-4b76-bd88-1ec2b9f42589/resource/eeabea3c-578e-49bd-bfe8-1d8c0b8f05bb/download/Data-Sekolah-Menengah-Atas-Provinsi-DKI-Jakarta.csv
TK Aisyiyah 48,Q25472133,,nama,Data-Sekolah-TK-PAUD-DKI-Jakarta-2018-edited.csv,data.go.id
